 -82 [da:11:1c:d7:12:dc]
RSSI: -92 [da:0b:7c:44:07:ca]
RSSI: -92 [da:0b:7c:50:07:ea]
RSSI: -91 [da:11:21:12:09:cc]
RSSI: -88 [da:0b:7c:5f:08:0a]
RSSI: -87 [da:0b:7c:6d:08:3a]
RSSI: -87 [da:0b:7c:6d:08:3a]
RSSI: -87 [da:0b:7c:89:08:8a]
RSSI: -96 [da:11:21:45:0a:6c]
RSSI: -84 [da:0b:7c:97:08:aa]
RSSI: -86 [da:0b:7c:97:08:aa]
RSSI: -84 [da:0b:7c:a4:08:da]
RSSI: -85 [da:0b:7c:b2:08:fa]
RSSI: -91 [da:0b:7c:b2:08:fa]
RSSI: -84 [da:0b:7c:c1:09:2a]
RSSI: -85 [da:0b:7c:c1:09:2a]
RSSI: -85 [da:0b:7c:cd:09:4a]
RSSI: -85 [da:0b:7c:dc:09:7a]
RSSI: -85 [da:0b:7c:eb:09:9a]
RSSI: -93 [da:11:21:ab:0b:bc]
RSSI: -94 [da:11:21:ab:0b:bc]
RSSI: -85 [da:0b:7c:f7:09:ba]
RSSI: -85 [da:0b:7c:f7:09:ba]
RSSI: -85 [da:0b:7c:f7:09:ba]
RSSI: -85 [da:0b:7c:f7:09:ba]
RSSI: -83 [da:0b:7d:06:09:ea]
RSSI: -84 [da:0b:7d:14:0a:0a]
RSSI: -88 [da:0b:7d:14:0a:0a]
RSSI: -83 [da:0b:7d:21:0a:3a]
RSSI: -82 [da:0b:7d:30:0a:5a]
RSSI: -83 [da:0b:7d:30:0a:5a]
RSSI: -85 [da:0b:7d:3e:0a:8a]
RSSI: -81 [da:0b:7d:3e:0a:8a]
RSSI: -82 [da:0b:7d:4b:0a:aa]
RSSI: -86 [da:0b:7d:4b:0a:aa]
RSSI: -82 [da:0b:7d:59:0a:da]
RSSI: -84 [da:0b:7d:59:0a:da]
RSSI: -83 [da:0b:7d:68:0a:fa]
RSSI: -86 [da:0b:7d:75:0b:2a]
RSSI: -83 [da:0b:7d:83:0b:4a]
RSSI: -81 [da:0b:7d:92:0b:7a]
RSSI: -81 [da:0b:7d:92:0b:7a]
RSSI: -80 [da:0b:7d:9e:0b:9a]
RSSI: -77 [da:0b:7d:9e:0b:9a]
RSSI: -78 [da:0b:7d:ad:0b:ca]
RSSI: -76 [da:0b:7d:bc:0b:ea]
RSSI: -90 [da:11:22:78:0e:4c]
RSSI: -76 [da:0b:7d:bc:0b:ea]
RSSI: -74 [da:0b:7d:c8:0c:0a]
RSSI: -75 [da:0b:7d:c8:0c:0a]
RSSI: -93 [da:11:22:91:0e:9c]
RSSI: -74 [da:0b:7d:d7:0c:3a]
RSSI: -73 [da:0b:7d:d7:0c:3a]
RSSI: -73 [da:0b:7d:e5:0c:6a]
RSSI: -72 [da:0b:7d:e5:0c:6a]
RSSI: -72 [da:0b:7d:f2:0c:8a]
RSSI: -73 [da:0b:7d:f2:0c:8a]
RSSI: -70 [da:0b:7e:0f:0c:da]
RSSI: -93 [da:11:22:d1:0f:6c]
RSSI: -71 [da:0b:7e:1c:0c:fa]
RSSI: -98 [da:11:22:de:0f:8c]
RSSI: -71 [da:0b:7e:2b:0d:2a]
RSSI: -71 [da:0b:7e:2b:0d:2a]
RSSI: -71 [da:0b:7e:2b:0d:2a]
RSSI: -70 [da:0b:7e:39:0d:4a]
RSSI: -71 [da:0b:7e:39:0d:4a]
RSSI: -71 [da:0b:7e:46:0d:7a]
RSSI: -69 [da:0b:7e:46:0d:7a]
RSSI: -70 [da:0b:7e:54:0d:9a]
RSSI: -98 [da:11:23:11:10:2c]
RSSI: -71 [da:0b:7e:63:0d:ca]
RSSI: -94 [da:11:23:2b:10:8c]
RSSI: -70 [da:0b:7e:70:0d:ea]
RSSI: -71 [da:0b:7e:70:0d:ea]
RSSI: -91 [da:11:23:38:10:ac]
RSSI: -71 [da:0b:7e:7e:0e:1a]
RSSI: -89 [da:11:23:38:10:ac]
RSSI: -72 [da:0b:7e:8d:0e:3a]
RSSI: -88 [da:11:23:45:10:dc]
RSSI: -72 [da:0b:7e:8d:0e:3a]
RSSI: -72 [da:0b:7e:8d:0e:3a]
RSSI: -86 [da:11:23:51:10:fc]
RSSI: -84 [da:11:23:51:10:fc]
RSSI: -74 [da:0b:7e:99:0e:6a]
RSSI: -86 [da:11:23:5e:11:2c]
RSSI: -73 [da:0b:7e:a8:0e:8a]
RSSI: -84 [da:11:23:6b:11:4c]
RSSI: -76 [da:0b:7e:b7:0e:ba]
RSSI: -82 [da:11:23:78:11:7c]
RSSI: -82 [da:11:23:78:11:7c]
RSSI: -78 [da:0b:7e:c3:0e:da]
RSSI: -79 [da:0b:7e:c3:0e:da]
RSSI: -81 [da:0b:7e:d2:0f:0a]
RSSI: -83 [da:11:23:92:11:cc]
RSSI: -81 [da:0b:7e:d2:0f:0a]
