 -82 [da:11:1c:d7:12:dc]
RSSI: -77 [da:0a:08:0a:16:3b]
RSSI: -66 [da:0b:ec:09:0b:6a]
RSSI: -66 [da:0b:ec:09:0b:6a]
RSSI: -79 [da:0a:08:17:16:5b]
RSSI: -76 [da:0a:08:25:00:0b]
RSSI: -64 [da:0b:ec:23:0b:ba]
RSSI: -80 [da:0a:08:33:00:2b]
RSSI: -65 [da:0b:ec:23:0b:ba]
RSSI: -79 [da:0a:08:33:00:2b]
RSSI: -66 [da:0b:ec:30:0b:da]
RSSI: -82 [da:0a:08:40:00:4b]
RSSI: -65 [da:0b:ec:30:0b:da]
RSSI: -81 [da:0a:08:40:00:4b]
RSSI: -66 [da:0b:ec:3c:0b:fa]
RSSI: -67 [da:0b:ec:3c:0b:fa]
RSSI: -69 [da:0b:ec:3c:0b:fa]
RSSI: -79 [da:0a:08:4e:00:7b]
RSSI: -82 [da:0a:08:4e:00:7b]
RSSI: -67 [da:0b:ec:49:0c:2a]
RSSI: -69 [da:0b:ec:49:0c:2a]
RSSI: -82 [da:0a:08:69:00:cb]
RSSI: -82 [da:0a:08:69:00:cb]
RSSI: -83 [da:0e:f5:80:0c:be]
RSSI: -71 [da:0b:ec:63:0c:6a]
RSSI: -83 [da:0a:08:69:00:cb]
RSSI: -82 [da:0e:f5:80:0c:be]
RSSI: -73 [da:0b:ec:63:0c:6a]
RSSI: -70 [da:0b:ec:70:0c:8a]
RSSI: -82 [da:0a:08:85:01:1b]
RSSI: -79 [da:0e:f5:9b:0d:0e]
RSSI: -71 [da:0b:ec:7d:0c:ba]
RSSI: -81 [da:0e:f5:9b:0d:0e]
RSSI: -71 [da:0b:ec:8a:0c:da]
RSSI: -83 [da:0a:08:92:01:3b]
RSSI: -69 [da:0b:ec:8a:0c:da]
RSSI: -86 [da:0a:08:a0:01:6b]
RSSI: -71 [da:0b:ec:97:0d:0a]
RSSI: -79 [da:0e:f5:b5:0d:4e]
RSSI: -86 [da:0a:08:a0:01:6b]
RSSI: -70 [da:0b:ec:97:0d:0a]
RSSI: -79 [da:0e:f5:b5:0d:4e]
RSSI: -86 [da:0a:08:ae:01:8b]
RSSI: -69 [da:0b:ec:a4:0d:2a]
RSSI: -79 [da:0e:f5:c2:0d:7e]
RSSI: -70 [da:0b:ec:a4:0d:2a]
RSSI: -71 [da:0b:ec:b1:0d:4a]
RSSI: -76 [da:0e:f5:d0:0d:9e]
RSSI: -70 [da:0b:ec:b1:0d:4a]
RSSI: -76 [da:0e:f5:d0:0d:9e]
RSSI: -71 [da:0b:ec:be:0d:7a]
RSSI: -72 [da:0b:ec:be:0d:7a]
RSSI: -78 [da:0e:f5:dd:0d:ce]
RSSI: -73 [da:0b:ec:cb:0d:9a]
RSSI: -75 [da:0e:f5:f8:0e:0e]
RSSI: -76 [da:0b:ec:d8:0d:ba]
RSSI: -78 [da:0b:ec:e5:0d:da]
RSSI: -78 [da:0b:ec:f2:0e:0a]
RSSI: -77 [da:0e:f6:12:0e:5e]
RSSI: -86 [da:11:91:ae:09:2c]
RSSI: -77 [da:0e:f6:12:0e:5e]
RSSI: -76 [da:0b:ec:ff:0e:2a]
RSSI: -75 [da:0e:f6:20:0e:7e]
RSSI: -76 [da:0b:ec:ff:0e:2a]
RSSI: -78 [da:0e:f6:20:0e:7e]
RSSI: -78 [da:0b:ed:0c:0e:4a]
RSSI: -78 [da:0e:f6:2d:0e:ae]
RSSI: -77 [da:0b:ed:0c:0e:4a]
RSSI: -76 [da:0e:f6:2d:0e:ae]
RSSI: -78 [da:0e:f6:3a:0e:ce]
RSSI: -81 [da:0b:ed:19:0e:6a]
RSSI: -79 [da:0e:f6:3a:0e:ce]
RSSI: -84 [da:11:91:d8:09:bc]
RSSI: -79 [da:0e:f6:3a:0e:ce]
RSSI: -81 [da:0b:ed:26:0e:9a]
RSSI: -77 [da:0e:f6:48:0e:fe]
RSSI: -84 [da:11:91:e5:09:ec]
RSSI: -78 [da:0e:f6:48:0e:fe]
RSSI: -88 [da:0b:ed:33:0e:ba]
RSSI: -84 [da:11:91:e5:09:ec]
RSSI: -79 [da:0e:f6:54:0f:1e]
RSSI: -89 [da:0b:ed:33:0e:ba]
RSSI: -79 [da:0e:f6:54:0f:1e]
RSSI: -83 [da:11:91:f4:0a:1c]
RSSI: -80 [da:0e:f6:62:0f:3e]
RSSI: -84 [da:0b:ed:4d:0e:fa]
RSSI: -80 [da:0e:f6:70:0f:6e]
RSSI: -85 [da:11:92:10:0a:6c]
RSSI: -85 [da:0b:ed:5a:0f:2a]
RSSI: -86 [da:0e:f6:7c:0f:8e]
RSSI: -84 [da:11:92:1f:0a:9c]
RSSI: -89 [da:0b:ed:68:0f:4a]
RSSI: -85 [da:11:92:2e:0a:cc]
RSSI: -85 [da:11:92:2e:0a:cc]
RSSI: -84 [da:0e:f6:98:0f:de]
RSSI: -85 [da:11:92:3a:0a:fc]
RSSI: -82 [da:0b:ed:8f:0f:ba]
RSSI: -86 [da:11:92:4a:0b:2c]
RSSI: -85 [da:11:92:4a:0b:2c]
RSSI: -85 [da:0b:ed:9b:0f:da]
RSSI: -88 [da:0e:f6:c0:10:5e]
RSSI: -91 [da:0a:09:b1:04:8b]
RSSI: -82 [da:0b:ed:a9:10:0a]
RSSI: -85 [da:11:92:65:0b:8c]
RSSI: -88 [da:0e:f6:cc:10:7e]
RSSI: -87 [da:11:92:65:0b:8c]
RSSI: -84 [da:0b:ed:b6:10:2a]
RSSI: -86 [da:0e:f6:da:10:ae]
RSSI: -91 [da:11:92:74:0b:bc]
RSSI: -87 [da:11:92:74:0b:bc]
RSSI: -86 [da:0e:f6:e8:10:ce]
RSSI: -85 [da:0e:f6:e8:10:ce]
RSSI: -86 [da:0e:f6:e8:10:ce]
RSSI: -84 [da:0b:ed:d0:10:6a]
RSSI: -85 [da:0e:f6:e8:10:ce]
RSSI: -85 [da:0b:ed:d0:10:6a]
RSSI: -86 [da:0b:ed:d0:10:6a]
RSSI: -87 [da:0e:f6:f4:10:ee]
RSSI: -85 [da:0e:f6:f4:10:ee]
RSSI: -83 [da:0b:ed:dd:10:9a]
RSSI: -86 [da:0e:f6:f4:10:ee]
RSSI: -82 [da:0b:ed:dd:10:9a]
RSSI: -85 [da:0e:f7:02:11:1e]
RSSI: -86 [da:0e:f7:02:11:1e]
RSSI: -90 [da:11:92:9f:0c:3c]
RSSI: -84 [da:0b:ed:e9:10:ba]
RSSI: -91 [da:11:92:9f:0c:3c]
RSSI: -80 [da:0b:ed:e9:10:ba]
RSSI: -79 [da:0b:ed:f7:10:da]
RSSI: -88 [da:11:92:ae:0c:6c]
RSSI: -86 [da:0b:ed:f7:10:da]
RSSI: -77 [da:0b:ee:04:11:0a]
RSSI: -88 [da:0e:f7:1c:11:6e]
RSSI: -78 [da:0b:ee:04:11:0a]
RSSI: -80 [da:0b:ee:04:11:0a]
RSSI: -90 [da:0e:f7:2a:11:8e]
RSSI: -90 [da:0a:0a:1f:05:cb]
RSSI: -78 [da:0b:ee:11:11:2a]
RSSI: -91 [da:11:92:d9:0c:fc]
RSSI: -80 [da:0b:ee:2b:11:7a]
RSSI: -86 [da:0e:f7:52:11:fe]
RSSI: -79 [da:0b:ee:38:11:9a]
RSSI: -92 [da:11:92:f5:0d:4c]
RSSI: -80 [da:0b:ee:38:11:9a]
RSSI: -89 [da:0a:0a:55:06:6b]
RSSI: -83 [da:0b:ee:45:11:ba]
RSSI: -77 [da:0b:ee:52:11:ea]
RSSI: -80 [da:0b:ee:52:11:ea]
RSSI: -86 [da:0e:f7:7a:12:7e]
RSSI: -89 [da:0e:f7:7a:12:7e]
RSSI: -95 [da:11:93:20:0d:dc]
RSSI: -86 [da:0b:ee:6c:12:2a]
RSSI: -86 [da:0e:f7:88:12:9e]
RSSI: -77 [da:0b:ee:79:12:4a]
RSSI: -89 [da:0e:f7:95:12:be]
RSSI: -90 [da:11:93:2f:0e:0c]
RSSI: -81 [da:0b:ee:79:12:4a]
RSSI: -89 [da:0a:0a:8d:07:0b]
RSSI: -89 [da:11:93:3b:0e:2c]
RSSI: -80 [da:0b:ee:86:12:7a]
RSSI: -92 [da:0a:0a:9b:07:3b]
RSSI: -88 [da:11:93:4b:0e:5c]
RSSI: -85 [da:0e:f7:b0:13:0e]
RSSI: -85 [da:0b:ee:a1:12:ba]
RSSI: -89 [da:11:93:5a:0e:8c]
RSSI: -93 [da:0a:0a:a7:07:5b]
RSSI: -84 [da:0b:ee:ad:12:da]
RSSI: -88 [da:0e:f7:cb:13:5e]
RSSI: -89 [da:0e:f7:cb:13:5e]
RSSI: -86 [da:11:93:66:0e:bc]
RSSI: -86 [da:0b:ee:c8:13:2a]
RSSI: -88 [da:0e:f7:e5:13:ae]
RSSI: -86 [da:11:93:84:0f:1c]
RSSI: -80 [da:0b:ee:d4:13:4a]
RSSI: -88 [da:0e:f7:f3:13:ce]
RSSI: -89 [da:11:93:91:0f:4c]
RSSI: -88 [da:0e:f7:f3:13:ce]
RSSI: -89 [da:11:93:a0:0f:7c]
RSSI: -88 [da:0e:f8:00:13:fe]
RSSI: -88 [da:0e:f8:0d:14:1e]
RSSI: -84 [da:0b:ee:ef:13:9a]
RSSI: -89 [da:0e:f8:0d:14:1e]
RSSI: -88 [da:11:93:af:0f:ac]
RSSI: -80 [da:0b:ee:fc:13:ba]
RSSI: -81 [da:0b:ef:09:13:ea]
RSSI: -86 [da:0b:ef:16:14:0a]
RSSI: -94 [da:0e:f8:35:14:8e]
RSSI: -90 [da:0e:f8:35:14:8e]
RSSI: -83 [da:0b:ef:23:14:2a]
RSSI: -93 [da:0b:ef:3d:14:7a]
RSSI: -91 [da:11:94:05:10:bc]
RSSI: -91 [da:0e:f8:6b:15:2e]
RSSI: -89 [da:0e:f8:86:15:6e]
RSSI: -95 [da:0b:ef:65:14:ea]
RSSI: -93 [da:0a:0b:75:09:bb]
RSSI: -80 [da:11:94:21:11:1c]
RSSI: -84 [da:11:94:30:11:4c]
RSSI: -88 [da:0e:f8:93:15:9e]
RSSI: -79 [da:11:94:30:11:4c]
RSSI: -88 [da:0b:ef:8c:15:5a]
RSSI: -83 [da:11:94:4c:11:9c]
RSSI: -86 [da:0b:ef:99:15:7a]
RSSI: -76 [da:11:94:5b:11:cc]
RSSI: -89 [da:0b:ef:a6:15:aa]
RSSI: -78 [da:11:94:68:11:fc]
RSSI: -87 [da:0b:ef:c0:15:ea]
RSSI: -82 [da:11:94:77:12:2c]
RSSI: -87 [da:0b:ef:c0:15:ea]
RSSI: -75 [da:11:94:93:12:7c]
RSSI: -84 [da:11:94:93:12:7c]
RSSI: -80 [da:11:94:a2:12:ac]
RSSI: -75 [da:11:94:a2:12:ac]
RSSI: -81 [da:11:94:b1:12:dc]
RSSI: -86 [da:11:94:be:13:0c]
RSSI: -85 [da:11:94:be:13:0c]
RSSI: -79 [da:11:94:cd:13:3c]
RSSI: -95 [da:0e:f9:42:01:3e]
RSSI: -89 [da:11:94:e9:13:9c]
RSSI: -88 [da:0b:f0:43:01:0a]
RSSI: -91 [da:11:94:f8:13:cc]
RSSI: -89 [da:0b:f0:43:01:0a]
RSSI: -85 [da:0b:f0:51:01:2a]
RSSI: -88 [da:0b:f0:5d:01:4a]
RSSI: -87 [da:11:95:14:14:1c]
RSSI: -85 [da:0b:f0:6b:01:7a]
RSSI: -88 [da:0b:f0:78:01:9a]
RSSI: -86 [da:11:95:3f:14:ac]
RSSI: -89 [da:0b:f0:85:01:ba]
RSSI: -88 [da:0b:f0:85:01:ba]
RSSI: -86 [da:11:95:4e:14:dc]
RSSI: -92 [da:0b:f0:97:01:fa]
RSSI: -85 [da:0b:f0:a8:02:1a]
RSSI: -93 [da:0e:f9:c8:02:be]
RSSI: -84 [da:0b:f0:b4:02:3a]
RSSI: -83 [da:0b:f0:b4:02:3a]
RSSI: -89 [da:11:95:79:15:5c]
RSSI: -88 [da:11:95:89:15:8c]
RSSI: -81 [da:0b:f0:cf:02:8a]
RSSI: -81 [da:0b:f0:dc:02:aa]
RSSI: -80 [da:0b:f0:dc:02:aa]
RSSI: -86 [da:11:95:95:15:ac]
RSSI: -84 [da:0b:f0:e9:02:ca]
RSSI: -88 [da:11:95:a5:15:dc]
RSSI: -80 [da:0b:f0:f6:02:fa]
RSSI: -84 [da:11:95:a5:15:dc]
RSSI: -84 [da:11:95:c0:16:3c]
RSSI: -83 [da:0b:f1:03:03:1a]
RSSI: -86 [da:11:95:c0:16:3c]
RSSI: -80 [da:0b:f1:11:03:3a]
RSSI: -85 [da:0b:f1:11:03:3a]
RSSI: -88 [da:11:95:d0:16:6c]
RSSI: -81 [da:0b:f1:1e:03:6a]
RSSI: -85 [da:0b:f1:2b:03:8a]
RSSI: -88 [da:11:95:df:00:0c]
RSSI: -85 [da:0b:f1:2b:03:8a]
RSSI: -85 [da:11:95:eb:00:2c]
RSSI: -93 [da:0a:0d:4b:0f:1b]
RSSI: -85 [da:11:95:fb:00:5c]
RSSI: -84 [da:11:95:fb:00:5c]
RSSI: -81 [da:0b:f1:52:03:fa]
RSSI: -84 [da:11:96:0a:00:8c]
RSSI: -85 [da:0b:f1:52:03:fa]
RSSI: -81 [da:0b:f1:60:04:1a]
RSSI: -86 [da:11:96:17:00:bc]
RSSI: -83 [da:0b:f1:6d:04:4a]
RSSI: -82 [da:11:96:26:00:ec]
RSSI: -86 [da:11:96:42:01:3c]
RSSI: -79 [da:0b:f1:87:04:8a]
RSSI: -84 [da:11:96:42:01:3c]
RSSI: -87 [da:0e:fa:ad:05:4e]
RSSI: -88 [da:0e:fa:ba:05:6e]
RSSI: -88 [da:0e:fa:ba:05:6e]
RSSI: -89 [da:0e:fa:ba:05:6e]
RSSI: -79 [da:0b:f1:a1:04:da]
RSSI: -88 [da:0e:fa:ba:05:6e]
RSSI: -84 [da:11:96:60:01:9c]
RSSI: -89 [da:0e:fa:c8:05:9e]
RSSI: -89 [da:0e:fa:c8:05:9e]
RSSI: -80 [da:0b:f1:af:04:fa]
RSSI: -84 [da:11:96:6d:01:cc]
RSSI: -90 [da:0e:fa:d6:05:be]
RSSI: -90 [da:0e:fa:e2:05:ee]
RSSI: -89 [da:11:96:7c:01:fc]
RSSI: -89 [da:0e:fa:e2:05:ee]
RSSI: -80 [da:0b:f1:d6:05:6a]
RSSI: -82 [da:0b:f1:d6:05:6a]
RSSI: -91 [da:11:96:98:02:4c]
RSSI: -80 [da:0b:f1:e3:05:9a]
RSSI: -83 [da:0b:f1:f0:05:ba]
RSSI: -90 [da:11:96:a8:02:7c]
RSSI: -81 [da:0b:f1:fe:05:da]
RSSI: -85 [da:0b:f1:fe:05:da]
RSSI: -84 [da:0b:f2:0b:06:0a]
RSSI: -91 [da:0e:fb:33:06:ce]
RSSI: -90 [da:0e:fb:33:06:ce]
RSSI: -88 [da:0b:f2:25:06:4a]
RSSI: -87 [da:11:96:e2:03:3c]
RSSI: -87 [da:11:96:e2:03:3c]
RSSI: -92 [da:0e:fb:4f:07:1e]
RSSI: -93 [da:0b:f2:33:06:7a]
RSSI: -93 [da:11:96:ef:03:6c]
RSSI: -89 [da:11:96:ef:03:6c]
RSSI: -94 [da:11:97:0d:03:cc]
RSSI: -91 [da:11:97:1a:03:ec]
RSSI: -94 [da:0a:0e:7b:12:9b]
RSSI: -97 [da:11:97:29:04:1c]
RSSI: -83 [da:0b:f2:74:07:2a]
RSSI: -79 [da:0b:f2:82:07:5a]
RSSI: -81 [da:0b:f2:82:07:5a]
RSSI: -93 [da:0e:fb:ad:08:2e]
RSSI: -89 [da:0b:f2:8f:07:7a]
RSSI: -77 [da:0b:f2:8f:07:7a]
RSSI: -79 [da:0b:f2:9c:07:9a]
RSSI: -91 [da:11:97:54:04:ac]
RSSI: -80 [da:0b:f2:9c:07:9a]
RSSI: -78 [da:0b:f2:aa:07:ca]
RSSI: -80 [da:0b:f2:aa:07:ca]
RSSI: -87 [da:0a:0e:c0:13:6b]
RSSI: -80 [da:0b:f2:b6:07:ea]
RSSI: -84 [da:0b:f2:c4:08:0a]
RSSI: -81 [da:0b:f2:d1:08:3a]
RSSI: -81 [da:0b:f2:d1:08:3a]
RSSI: -87 [da:0a:0e:db:13:bb]
RSSI: -79 [da:0b:f2:d1:08:3a]
RSSI: -80 [da:0b:f2:de:08:5a]
RSSI: -77 [da:0b:f2:de:08:5a]
RSSI: -77 [da:0b:f2:eb:08:7a]
RSSI: -88 [da:0e:fc:0c:09:3e]
RSSI: -79 [da:0b:f2:eb:08:7a]
RSSI: -73 [da:0b:f2:f9:08:aa]
RSSI: -74 [da:0b:f2:f9:08:aa]
RSSI: -72 [da:0b:f3:05:08:ca]
RSSI: -76 [da:0b:f3:13:08:fa]
RSSI: -91 [da:11:97:c7:06:1c]
RSSI: -91 [da:0a:0f:22:14:7b]
RSSI: -92 [da:0e:fc:34:09:ae]
RSSI: -89 [da:0e:fc:34:09:ae]
RSSI: -71 [da:0b:f3:20:09:1a]
RSSI: -90 [da:0e:fc:42:09:de]
RSSI: -71 [da:0b:f3:20:09:1a]
RSSI: -70 [da:0b:f3:2d:09:3a]
RSSI: -86 [da:0a:0f:3d:14:cb]
RSSI: -89 [da:0e:fc:4f:09:fe]
RSSI: -76 [da:0b:f3:3b:09:6a]
RSSI: -87 [da:0a:0f:4b:14:fb]
RSSI: -86 [da:11:97:f2:06:9c]
RSSI: -89 [da:0e:fc:5d:0a:2e]
RSSI: -90 [da:0a:0f:4b:14:fb]
RSSI: -71 [da:0b:f3:48:09:8a]
RSSI: -84 [da:11:98:02:06:cc]
RSSI: -84 [da:0a:0f:58:15:1b]
RSSI: -86 [da:11:98:02:06:cc]
RSSI: -72 [da:0b:f3:55:09:aa]
RSSI: -86 [da:11:98:11:06:fc]
RSSI: -74 [da:0b:f3:55:09:aa]
RSSI: -76 [da:0b:f3:62:09:da]
RSSI: -76 [da:0b:f3:70:09:fa]
RSSI: -83 [da:0a:0f:82:15:9b]
RSSI: -87 [da:11:98:2d:07:5c]
RSSI: -89 [da:0e:fc:93:0a:ce]
RSSI: -82 [da:0a:0f:82:15:9b]
RSSI: -88 [da:11:98:2d:07:5c]
RSSI: -74 [da:0b:f3:7c:0a:1a]
RSSI: -83 [da:0a:0f:90:15:cb]
RSSI: -80 [da:0b:f3:8a:0a:4a]
RSSI: -81 [da:0a:0f:9f:15:eb]
RSSI: -76 [da:0b:f3:8a:0a:4a]
RSSI: -81 [da:0b:f3:98:0a:6a]
RSSI: -89 [da:0e:fc:bc:0b:3e]
RSSI: -77 [da:0b:f3:a4:0a:8a]
RSSI: -87 [da:0e:fc:bc:0b:3e]
RSSI: -81 [da:0b:f3:a4:0a:8a]
RSSI: -87 [da:0e:fc:c9:0b:5e]
RSSI: -81 [da:0a:0f:ba:16:3b]
RSSI: -87 [da:0e:fc:c9:0b:5e]
RSSI: -81 [da:0b:f3:b2:0a:ba]
RSSI: -88 [da:0e:fc:d7:0b:8e]
RSSI: -80 [da:0a:0f:c8:16:6b]
RSSI: -83 [da:11:98:74:08:3c]
RSSI: -86 [da:0e:fc:e5:0b:be]
RSSI: -80 [da:0a:0f:d5:00:0b]
RSSI: -87 [da:0e:fc:f1:0b:de]
RSSI: -79 [da:0a:0f:e4:00:2b]
RSSI: -79 [da:0a:0f:e4:00:2b]
RSSI: -79 [da:0a:0f:f2:00:5b]
RSSI: -89 [da:0e:fc:ff:0c:0e]
RSSI: -80 [da:0b:f3:e7:0b:4a]
RSSI: -86 [da:0e:fd:0d:0c:2e]
RSSI: -79 [da:0a:0f:ff:00:7b]
RSSI: -89 [da:0b:f3:f4:0b:6a]
RSSI: -88 [da:0e:fd:0d:0c:2e]
RSSI: -79 [da:0a:0f:ff:00:7b]
RSSI: -82 [da:11:98:af:08:fc]
RSSI: -87 [da:0e:fd:1a:0c:5e]
RSSI: -84 [da:11:98:bf:09:2c]
RSSI: -84 [da:0e:fd:28:0c:7e]
RSSI: -80 [da:0a:10:28:00:fb]
RSSI: -82 [da:0b:f4:1b:0b:da]
RSSI: -80 [da:0a:10:28:00:fb]
RSSI: -79 [da:11:98:db:09:8c]
RSSI: -83 [da:0b:f4:29:0c:0a]
RSSI: -86 [da:11:98:db:09:8c]
RSSI: -81 [da:0a:10:37:01:1b]
RSSI: -77 [da:0b:f4:37:0c:2a]
RSSI: -78 [da:11:98:ea:09:bc]
RSSI: -80 [da:0a:10:45:01:4b]
RSSI: -85 [da:0b:f4:37:0c:2a]
RSSI: -80 [da:0a:10:45:01:4b]
RSSI: -79 [da:0b:f4:43:0c:4a]
RSSI: -82 [da:0a:10:52:01:6b]
RSSI: -84 [da:0b:f4:51:0c:7a]
RSSI: -82 [da:0b:f4:5e:0c:9a]
RSSI: -76 [da:0e:fd:87:0d:8e]
RSSI: -89 [da:0b:f4:6b:0c:ba]
RSSI: -76 [da:0e:fd:87:0d:8e]
RSSI: -74 [da:0e:fd:87:0d:8e]
RSSI: -86 [da:0b:f4:6b:0c:ba]
RSSI: -84 [da:11:99:22:0a:6c]
RSSI: -76 [da:0e:fd:94:0d:be]
RSSI: -75 [da:0e:fd:94:0d:be]
RSSI: -85 [da:11:99:32:0a:9c]
RSSI: -87 [da:0a:10:8a:02:0b]
RSSI: -75 [da:0e:fd:a2:0d:de]
RSSI: -85 [da:11:99:41:0a:cc]
RSSI: -75 [da:0e:fd:b0:0e:0e]
RSSI: -85 [da:0b:f4:93:0d:2a]
RSSI: -74 [da:0e:fd:b0:0e:0e]
RSSI: -75 [da:0e:fd:bd:0e:2e]
RSSI: -76 [da:0e:fd:bd:0e:2e]
RSSI: -84 [da:11:99:5d:0b:2c]
RSSI: -90 [da:0a:10:b4:02:8b]
RSSI: -75 [da:0e:fd:cb:0e:4e]
RSSI: -86 [da:11:99:6c:0b:5c]
RSSI: -74 [da:0e:fd:d9:0e:7e]
RSSI: -87 [da:0b:f4:c8:0d:ca]
RSSI: -76 [da:0e:fd:f3:0e:ce]
RSSI: -86 [da:0b:f4:d6:0d:ea]
RSSI: -76 [da:0e:fd:f3:0e:ce]
RSSI: -87 [da:0b:f4:d6:0d:ea]
RSSI: -76 [da:0e:fd:f3:0e:ce]
RSSI: -84 [da:0b:f4:e3:0e:1a]
RSSI: -77 [da:0e:fe:01:0e:ee]
RSSI: -88 [da:0b:f4:f0:0e:3a]
RSSI: -86 [da:0b:f4:f0:0e:3a]
RSSI: -90 [da:11:99:aa:0c:1c]
RSSI: -88 [da:0b:f4:fe:0e:6a]
RSSI: -79 [da:0e:fe:13:0f:2e]
RSSI: -90 [da:0b:f4:fe:0e:6a]
RSSI: -90 [da:11:99:ba:0c:4c]
RSSI: -77 [da:0e:fe:24:0f:4e]
RSSI: -87 [da:0b:f5:0a:0e:8a]
RSSI: -80 [da:0e:fe:32:0f:7e]
RSSI: -83 [da:0b:f5:18:0e:aa]
RSSI: -83 [da:0e:fe:3e:0f:9e]
RSSI: -84 [da:0b:f5:26:0e:da]
RSSI: -83 [da:0e:fe:3e:0f:9e]
RSSI: -84 [da:0b:f5:26:0e:da]
RSSI: -82 [da:0e:fe:4c:0f:ce]
RSSI: -86 [da:0e:fe:5a:0f:fe]
RSSI: -87 [da:0e:fe:5a:0f:fe]
RSSI: -86 [da:0e:fe:5a:0f:fe]
RSSI: -82 [da:0b:f5:40:0f:1a]
RSSI: -90 [da:11:9a:02:0d:3c]
RSSI: -79 [da:0b:f5:4e:0f:4a]
RSSI: -80 [da:0b:f5:4e:0f:4a]
RSSI: -79 [da:0b:f5:4e:0f:4a]
RSSI: -79 [da:0b:f5:5a:0f:6a]
RSSI: -89 [da:11:9a:11:0d:6c]
RSSI: -93 [da:0a:11:6a:04:9b]
RSSI: -80 [da:0b:f5:5a:0f:6a]
RSSI: -88 [da:11:9a:11:0d:6c]
RSSI: -86 [da:0b:f5:68:0f:9a]
RSSI: -90 [da:11:9a:21:0d:9c]
RSSI: -85 [da:0b:f5:68:0f:9a]
RSSI: -87 [da:0e:fe:90:10:8e]
RSSI: -86 [da:0e:fe:9e:10:be]
RSSI: -80 [da:0b:f5:82:0f:da]
RSSI: -80 [da:0b:f5:82:0f:da]
RSSI: -87 [da:11:9a:3d:0d:fc]
RSSI: -81 [da:0b:f5:90:10:0a]
RSSI: -83 [da:0e:fe:ac:10:de]
RSSI: -78 [da:0b:f5:90:10:0a]
RSSI: -85 [da:11:9a:4c:0e:2c]
RSSI: -86 [da:0e:fe:b9:10:fe]
RSSI: -78 [da:0b:f5:9d:10:2a]
RSSI: -87 [da:0e:fe:b9:10:fe]
RSSI: -81 [da:0b:f5:9d:10:2a]
RSSI: -85 [da:11:9a:59:0e:4c]
RSSI: -76 [da:0b:f5:aa:10:4a]
RSSI: -85 [da:11:9a:68:0e:8c]
RSSI: -86 [da:11:9a:68:0e:8c]
RSSI: -76 [da:0b:f5:b8:10:7a]
RSSI: -77 [da:0b:f5:b8:10:7a]
RSSI: -87 [da:11:9a:78:0e:bc]
RSSI: -77 [da:0b:f5:c5:10:9a]
RSSI: -87 [da:0e:fe:e2:11:7e]
RSSI: -82 [da:0b:f5:c5:10:9a]
RSSI: -83 [da:0e:fe:e2:11:7e]
RSSI: -87 [da:0e:fe:f0:11:9e]
RSSI: -87 [da:0e:fe:f0:11:9e]
RSSI: -86 [da:11:9a:84:0e:dc]
RSSI: -78 [da:0b:f5:d2:10:ba]
RSSI: -87 [da:0e:fe:f0:11:9e]
RSSI: -85 [da:11:9a:94:0f:0c]
RSSI: -82 [da:11:9a:94:0f:0c]
RSSI: -84 [da:11:9a:a3:0f:3c]
RSSI: -78 [da:0b:f5:ed:11:0a]
RSSI: -83 [da:11:9a:a3:0f:3c]
RSSI: -83 [da:0e:ff:0a:11:ee]
RSSI: -94 [da:0a:12:03:06:5b]
RSSI: -81 [da:11:9a:b0:0f:6c]
RSSI: -77 [da:0b:f5:fa:11:2a]
RSSI: -75 [da:0b:f6:08:11:5a]
RSSI: -86 [da:0e:ff:27:12:3e]
RSSI: -76 [da:0b:f6:08:11:5a]
RSSI: -80 [da:11:9a:bf:0f:9c]
RSSI: -81 [da:11:9a:cf:0f:cc]
RSSI: -85 [da:0e:ff:33:12:6e]
RSSI: -83 [da:11:9a:cf:0f:cc]
RSSI: -87 [da:0e:ff:33:12:6e]
RSSI: -76 [da:0b:f6:22:11:9a]
RSSI: -82 [da:11:9a:dc:0f:fc]
RSSI: -84 [da:0e:ff:42:12:8e]
RSSI: -82 [da:11:9a:dc:0f:fc]
RSSI: -76 [da:0b:f6:30:11:ca]
RSSI: -88 [da:0e:ff:50:12:be]
RSSI: -81 [da:0b:f6:3d:11:ea]
RSSI: -77 [da:0b:f6:3d:11:ea]
RSSI: -86 [da:0e:ff:5c:12:de]
RSSI: -81 [da:0b:f6:4a:12:0a]
RSSI: -81 [da:0b:f6:4a:12:0a]
RSSI: -84 [da:0e:ff:6a:13:0e]
RSSI: -79 [da:0b:f6:58:12:3a]
RSSI: -82 [da:11:9b:07:10:7c]
RSSI: -82 [da:0b:f6:65:12:5a]
RSSI: -80 [da:0b:f6:65:12:5a]
RSSI: -89 [da:0e:ff:85:13:5e]
RSSI: -80 [da:0b:f6:65:12:5a]
RSSI: -78 [da:11:9b:26:10:ec]
RSSI: -89 [da:0e:ff:85:13:5e]
RSSI: -84 [da:0b:f6:72:12:7a]
RSSI: -83 [da:0b:f6:72:12:7a]
RSSI: -75 [da:11:9b:33:11:0c]
RSSI: -81 [da:0b:f6:80:12:aa]
RSSI: -75 [da:11:9b:33:11:0c]
RSSI: -86 [da:0b:f6:80:12:aa]
RSSI: -85 [da:0e:ff:a1:13:ae]
RSSI: -73 [da:11:9b:42:11:3c]
RSSI: -88 [da:0e:ff:ae:13:ce]
RSSI: -78 [da:11:9b:52:11:6c]
RSSI: -78 [da:11:9b:52:11:6c]
