 -81 [da:09:af:f3:0f:7c]
RSSI: -77 [da:09:b3:93:04:1c]
RSSI: -78 [da:09:b3:a1:04:3c]
RSSI: -75 [da:09:b3:a1:04:3c]
RSSI: -81 [da:09:b3:b0:04:6c]
RSSI: -79 [da:09:b3:b0:04:6c]
RSSI: -76 [da:09:b3:bc:04:9c]
RSSI: -85 [da:09:b3:bc:04:9c]
RSSI: -80 [da:09:b3:cb:04:bc]
RSSI: -78 [da:09:b3:cb:04:bc]
RSSI: -78 [da:09:b3:d9:04:ec]
RSSI: -79 [da:09:b3:e5:05:1c]
RSSI: -77 [da:09:b3:f4:05:3c]
RSSI: -76 [da:09:b4:02:05:6c]
RSSI: -82 [da:09:b4:02:05:6c]
RSSI: -97 [da:50:e8:4e:02:5a]
RSSI: -81 [da:09:b4:0f:05:9c]
RSSI: -79 [da:09:b4:0f:05:9c]
RSSI: -84 [da:09:b4:1d:05:bc]
RSSI: -81 [da:09:b4:1d:05:bc]
RSSI: -79 [da:09:b4:2b:05:ec]
RSSI: -84 [da:09:b4:2b:05:ec]
RSSI: -79 [da:09:b4:38:06:1c]
RSSI: -79 [da:09:b4:46:06:3c]
RSSI: -79 [da:09:b4:55:06:6c]
RSSI: -96 [da:50:e8:a2:03:4a]
RSSI: -78 [da:09:b4:61:06:9c]
RSSI: -80 [da:09:b4:70:06:bc]
RSSI: -84 [da:09:b4:7e:06:ec]
RSSI: -82 [da:09:b4:8a:07:1c]
RSSI: -95 [da:50:e8:cc:03:ba]
RSSI: -79 [da:09:b4:8a:07:1c]
RSSI: -92 [da:50:e8:db:03:ea]
RSSI: -90 [da:09:b4:99:07:3c]
RSSI: -93 [da:09:b4:99:07:3c]
RSSI: -92 [da:50:e8:e7:04:0a]
RSSI: -91 [da:50:e8:e7:04:0a]
RSSI: -83 [da:09:b4:a7:07:6c]
RSSI: -93 [da:50:e8:f6:04:2a]
RSSI: -92 [da:50:e8:f6:04:2a]
RSSI: -82 [da:09:b4:b4:07:9c]
RSSI: -78 [da:09:b4:c2:07:bc]
RSSI: -81 [da:09:b4:c2:07:bc]
RSSI: -83 [da:09:b4:c2:07:bc]
RSSI: -83 [da:09:b4:d0:07:ec]
RSSI: -79 [da:09:b4:d0:07:ec]
RSSI: -94 [da:50:e9:17:04:8a]
RSSI: -94 [da:50:e9:17:04:8a]
RSSI: -80 [da:09:b4:dd:08:1c]
RSSI: -93 [da:50:e9:27:04:ba]
RSSI: -86 [da:09:b4:dd:08:1c]
RSSI: -92 [da:50:e9:36:04:ea]
RSSI: -90 [da:50:e9:43:05:0a]
RSSI: -88 [da:09:b4:fa:08:6c]
RSSI: -75 [da:09:b5:06:08:9c]
RSSI: -75 [da:09:b5:06:08:9c]
RSSI: -88 [da:50:e9:52:05:2a]
RSSI: -78 [da:09:b5:15:08:cc]
RSSI: -74 [da:09:b5:15:08:cc]
RSSI: -87 [da:50:e9:60:05:5a]
RSSI: -82 [da:09:b5:23:08:ec]
RSSI: -78 [da:09:b5:23:08:ec]
RSSI: -79 [da:09:b5:30:09:1c]
RSSI: -85 [da:50:e9:7c:05:aa]
RSSI: -79 [da:09:b5:30:09:1c]
RSSI: -84 [da:50:e9:7c:05:aa]
RSSI: -77 [da:09:b5:3e:09:4c]
RSSI: -83 [da:50:e9:8b:05:da]
RSSI: -83 [da:50:e9:8b:05:da]
RSSI: -77 [da:09:b5:4c:09:6c]
RSSI: -83 [da:09:b5:4c:09:6c]
RSSI: -82 [da:50:e9:97:05:fa]
RSSI: -79 [da:09:b5:59:09:9c]
RSSI: -90 [da:09:b5:59:09:9c]
RSSI: -82 [da:50:e9:a6:06:1a]
RSSI: -82 [da:09:b5:68:09:cc]
