 -81 [da:09:af:f3:0f:7c]
RSSI: -79 [da:0a:0f:cf:11:0c]
RSSI: -81 [da:0a:0f:dc:11:3c]
RSSI: -88 [da:0a:0f:fb:11:8c]
RSSI: -87 [da:0a:10:07:11:bc]
RSSI: -88 [da:0a:10:07:11:bc]
RSSI: -85 [da:0a:10:26:12:0c]
RSSI: -96 [da:51:44:74:11:da]
RSSI: -84 [da:0a:10:33:12:3c]
RSSI: -82 [da:0a:10:33:12:3c]
RSSI: -82 [da:0a:10:42:12:6c]
RSSI: -82 [da:0a:10:42:12:6c]
RSSI: -81 [da:0a:10:52:12:9c]
RSSI: -78 [da:0a:10:5e:12:bc]
RSSI: -79 [da:0a:10:6e:12:ec]
RSSI: -77 [da:0a:10:6e:12:ec]
RSSI: -76 [da:0a:10:7d:13:1c]
RSSI: -76 [da:0a:10:8f:13:4c]
RSSI: -76 [da:0a:10:8f:13:4c]
RSSI: -76 [da:0a:10:9f:13:7c]
RSSI: -76 [da:0a:10:9f:13:7c]
RSSI: -79 [da:0a:10:af:13:ac]
RSSI: -76 [da:0a:10:af:13:ac]
RSSI: -76 [da:0a:10:bb:13:cc]
RSSI: -80 [da:0a:10:bb:13:cc]
RSSI: -76 [da:0a:10:cb:13:fc]
RSSI: -97 [da:4f:61:15:11:4b]
RSSI: -80 [da:0a:10:e7:14:5c]
RSSI: -74 [da:0a:10:e7:14:5c]
RSSI: -80 [da:0a:10:f7:14:8c]
RSSI: -75 [da:0a:11:06:14:bc]
RSSI: -78 [da:0a:11:06:14:bc]
RSSI: -78 [da:0a:11:13:14:dc]
RSSI: -82 [da:0a:11:13:14:dc]
RSSI: -81 [da:0a:11:22:15:0c]
RSSI: -80 [da:0a:11:32:15:3c]
RSSI: -76 [da:0a:11:3e:15:5c]
RSSI: -77 [da:0a:11:4e:15:8c]
RSSI: -73 [da:0a:11:4e:15:8c]
RSSI: -73 [da:0a:11:4e:15:8c]
RSSI: -76 [da:0a:11:5d:15:bc]
RSSI: -74 [da:0a:11:5d:15:bc]
RSSI: -71 [da:0a:11:6a:15:dc]
RSSI: -69 [da:0a:11:79:16:0c]
RSSI: -68 [da:0a:11:79:16:0c]
RSSI: -70 [da:0a:11:89:16:3c]
RSSI: -67 [da:0a:11:89:16:3c]
RSSI: -70 [da:0a:11:95:16:5c]
RSSI: -66 [da:0a:11:a5:00:0c]
RSSI: -66 [da:0a:11:b4:00:2c]
RSSI: -68 [da:0a:11:c1:00:5c]
RSSI: -66 [da:0a:11:c1:00:5c]
RSSI: -68 [da:0a:11:d1:00:8c]
RSSI: -92 [da:51:46:21:00:4a]
RSSI: -66 [da:0a:11:e0:00:bc]
RSSI: -67 [da:0a:11:ed:00:dc]
RSSI: -66 [da:0a:11:ed:00:dc]
RSSI: -70 [da:0a:11:fc:01:0c]
RSSI: -69 [da:0a:11:fc:01:0c]
RSSI: -72 [da:0a:12:0c:01:3c]
RSSI: -91 [da:51:46:5d:00:fa]
RSSI: -92 [da:51:46:5d:00:fa]
RSSI: -68 [da:0a:12:18:01:5c]
RSSI: -69 [da:0a:12:18:01:5c]
RSSI: -91 [da:51:46:6a:01:2a]
RSSI: -75 [da:0a:12:28:01:8c]
RSSI: -72 [da:0a:12:28:01:8c]
RSSI: -79 [da:0a:12:37:01:bc]
RSSI: -90 [da:51:46:7a:01:4a]
RSSI: -82 [da:0a:12:37:01:bc]
RSSI: -92 [da:0a:12:44:01:dc]
RSSI: -84 [da:0a:12:54:02:0c]
RSSI: -84 [da:0a:12:54:02:0c]
RSSI: -79 [da:0a:12:63:02:3c]
RSSI: -76 [da:0a:12:63:02:3c]
RSSI: -89 [da:51:46:b6:01:fa]
RSSI: -78 [da:0a:12:70:02:6c]
RSSI: -75 [da:0a:12:70:02:6c]
RSSI: -77 [da:0a:12:7f:02:9c]
RSSI: -74 [da:0a:12:7f:02:9c]
RSSI: -76 [da:0a:12:8f:02:cc]
RSSI: -75 [da:0a:12:9b:02:ec]
RSSI: -73 [da:0a:12:9b:02:ec]
RSSI: -75 [da:0a:12:ab:03:1c]
RSSI: -79 [da:0a:12:bb:03:4c]
RSSI: -79 [da:0a:12:bb:03:4c]
RSSI: -77 [da:0a:12:bb:03:4c]
RSSI: -76 [da:0a:12:c7:03:6c]
RSSI: -80 [da:0a:12:c7:03:6c]
RSSI: -75 [da:0a:12:d7:03:9c]
RSSI: -79 [da:0a:12:e6:03:cc]
RSSI: -76 [da:0a:12:e6:03:cc]
RSSI: -76 [da:0a:12:e6:03:cc]
RSSI: -89 [da:51:47:3c:03:7a]
RSSI: -91 [da:4f:63:28:00:cb]
RSSI: -78 [da:0a:12:f3:03:fc]
RSSI: -76 [da:0a:12:f3:03:fc]
RSSI: -88 [da:51:47:49:03:9a]
RSSI: -80 [da:0a:13:03:04:2c]
RSSI: -78 [da:0a:13:12:04:5c]
RSSI: -88 [da:51:47:69:03:fa]
RSSI: -86 [da:51:47:69:03:fa]
RSSI: -80 [da:0a:13:1f:04:7c]
RSSI: -82 [da:0a:13:2e:04:ac]
RSSI: -95 [da:4f:63:6b:01:8b]
RSSI: -86 [da:0a:13:3e:04:dc]
RSSI: -82 [da:0a:13:4a:05:0c]
RSSI: -78 [da:0a:13:5a:05:3c]
RSSI: -89 [da:51:47:a2:04:9a]
RSSI: -79 [da:0a:13:5a:05:3c]
RSSI: -81 [da:0a:13:6a:05:6c]
RSSI: -77 [da:0a:13:6a:05:6c]
RSSI: -87 [da:51:47:c2:04:ea]
RSSI: -80 [da:0a:13:76:05:8c]
RSSI: -88 [da:51:47:c2:04:ea]
RSSI: -77 [da:0a:13:86:05:bc]
RSSI: -78 [da:0a:13:86:05:bc]
RSSI: -90 [da:4f:63:c8:02:ab]
RSSI: -85 [da:51:47:df:05:3a]
RSSI: -84 [da:51:47:df:05:3a]
RSSI: -83 [da:51:47:ef:05:6a]
RSSI: -80 [da:0a:13:a2:06:1c]
RSSI: -82 [da:51:47:ef:05:6a]
RSSI: -81 [da:0a:13:a2:06:1c]
RSSI: -81 [da:51:48:0b:05:ba]
RSSI: -80 [da:51:48:0b:05:ba]
RSSI: -89 [da:4f:63:fe:03:4b]
RSSI: -79 [da:51:48:0b:05:ba]
RSSI: -80 [da:51:48:1b:05:ea]
RSSI: -80 [da:0a:13:ce:06:9c]
RSSI: -78 [da:0a:13:de:06:cc]
RSSI: -79 [da:51:48:28:06:0a]
RSSI: -89 [da:4f:64:26:03:bb]
RSSI: -78 [da:51:48:38:06:3a]
RSSI: -82 [da:0a:13:ed:06:fc]
RSSI: -89 [da:4f:64:26:03:bb]
RSSI: -78 [da:51:48:38:06:3a]
RSSI: -79 [da:0a:13:fa:07:2c]
RSSI: -78 [da:51:48:48:06:6a]
RSSI: -83 [da:0a:13:fa:07:2c]
RSSI: -90 [da:4f:64:34:03:eb]
RSSI: -77 [da:51:48:48:06:6a]
RSSI: -79 [da:0a:14:09:07:5c]
RSSI: -78 [da:51:48:55:06:8a]
RSSI: -78 [da:51:48:65:06:ba]
RSSI: -78 [da:51:48:65:06:ba]
RSSI: -82 [da:0a:14:26:07:ac]
RSSI: -78 [da:51:48:75:06:ea]
RSSI: -76 [da:0a:14:26:07:ac]
RSSI: -78 [da:51:48:82:07:0a]
RSSI: -75 [da:0a:14:45:08:0c]
RSSI: -77 [da:0a:14:45:08:0c]
RSSI: -79 [da:51:48:92:07:3a]
RSSI: -78 [da:51:48:92:07:3a]
RSSI: -76 [da:0a:14:52:08:3c]
RSSI: -79 [da:51:48:a2:07:6a]
RSSI: -83 [da:0a:14:61:08:6c]
RSSI: -77 [da:0a:14:61:08:6c]
RSSI: -80 [da:51:48:ae:07:8a]
RSSI: -80 [da:0a:14:71:08:9c]
RSSI: -81 [da:51:48:be:07:ba]
RSSI: -82 [da:0a:14:71:08:9c]
RSSI: -82 [da:51:48:be:07:ba]
RSSI: -81 [da:0a:14:7d:08:bc]
RSSI: -82 [da:51:48:ce:07:ea]
RSSI: -83 [da:51:48:ce:07:ea]
RSSI: -77 [da:0a:14:8d:08:ec]
RSSI: -81 [da:0a:14:8d:08:ec]
RSSI: -85 [da:51:48:db:08:0a]
RSSI: -78 [da:0a:14:9d:09:1c]
RSSI: -85 [da:51:48:eb:08:3a]
RSSI: -79 [da:0a:14:9d:09:1c]
RSSI: -87 [da:51:48:eb:08:3a]
RSSI: -80 [da:0a:14:a9:09:4c]
RSSI: -81 [da:0a:14:b9:09:7c]
RSSI: -83 [da:0a:14:b9:09:7c]
RSSI: -91 [da:0a:14:c9:09:ac]
RSSI: -89 [da:51:49:18:08:ba]
RSSI: -86 [da:0a:14:d5:09:cc]
RSSI: -88 [da:51:49:28:08:ea]
RSSI: -86 [da:51:49:35:09:0a]
RSSI: -80 [da:0a:14:f5:0a:2c]
RSSI: -87 [da:51:49:45:09:3a]
RSSI: -79 [da:0a:15:01:0a:5c]
RSSI: -88 [da:51:49:55:09:6a]
RSSI: -82 [da:0a:15:11:0a:8c]
RSSI: -87 [da:0a:15:21:0a:bc]
RSSI: -91 [da:51:49:72:09:ba]
RSSI: -80 [da:0a:15:2d:0a:dc]
RSSI: -86 [da:0a:15:2d:0a:dc]
RSSI: -80 [da:0a:15:3d:0b:0c]
RSSI: -94 [da:4f:65:75:07:bb]
RSSI: -84 [da:0a:15:4d:0b:3c]
RSSI: -76 [da:0a:15:4d:0b:3c]
RSSI: -81 [da:0a:15:59:0b:6c]
RSSI: -93 [da:4f:65:8f:08:0b]
RSSI: -75 [da:0a:15:59:0b:6c]
RSSI: -75 [da:0a:15:79:0b:cc]
RSSI: -80 [da:0a:15:79:0b:cc]
RSSI: -75 [da:0a:15:85:0b:ec]
RSSI: -83 [da:0a:15:95:0c:2c]
RSSI: -76 [da:0a:15:95:0c:2c]
RSSI: -76 [da:0a:15:a5:0c:5c]
RSSI: -83 [da:0a:15:a5:0c:5c]
RSSI: -83 [da:0a:15:a5:0c:5c]
RSSI: -75 [da:0a:15:b1:0c:7c]
RSSI: -79 [da:0a:15:c1:0c:ac]
RSSI: -75 [da:0a:15:c1:0c:ac]
RSSI: -84 [da:0a:15:d1:0c:dc]
RSSI: -86 [da:0a:15:d1:0c:dc]
RSSI: -78 [da:0a:15:ed:0d:3c]
RSSI: -94 [da:4f:66:23:09:cb]
RSSI: -84 [da:0a:15:fd:0d:6c]
RSSI: -78 [da:0a:15:fd:0d:6c]
RSSI: -82 [da:0a:16:09:0d:8c]
RSSI: -80 [da:0a:16:19:0d:bc]
RSSI: -77 [da:0a:16:29:0d:ec]
RSSI: -81 [da:0a:16:29:0d:ec]
RSSI: -77 [da:0a:16:35:0e:1c]
RSSI: -75 [da:0a:16:35:0e:1c]
RSSI: -75 [da:0a:16:45:0e:4c]
RSSI: -75 [da:0a:16:55:0e:7c]
RSSI: -74 [da:0a:16:61:0e:9c]
RSSI: -77 [da:0a:16:61:0e:9c]
RSSI: -77 [da:0a:16:61:0e:9c]
RSSI: -76 [da:0a:16:71:0e:cc]
RSSI: -74 [da:0a:16:81:0f:0c]
RSSI: -77 [da:0a:16:8d:0f:2c]
RSSI: -75 [da:0a:16:8d:0f:2c]
RSSI: -75 [da:0a:16:8d:0f:2c]
RSSI: -77 [da:0a:16:9d:0f:5c]
RSSI: -75 [da:0a:16:ad:0f:8c]
RSSI: -74 [da:0a:16:ba:0f:bc]
RSSI: -74 [da:0a:16:ba:0f:bc]
RSSI: -75 [da:0a:16:c9:0f:ec]
RSSI: -74 [da:0a:16:c9:0f:ec]
RSSI: -76 [da:0a:16:d9:10:1c]
RSSI: -76 [da:0a:16:e6:10:3c]
RSSI: -77 [da:0a:16:e6:10:3c]
RSSI: -78 [da:0a:16:f6:10:6c]
RSSI: -77 [da:0a:16:f6:10:6c]
RSSI: -77 [da:0a:16:f6:10:6c]
RSSI: -77 [da:0a:17:05:10:9c]
RSSI: -77 [da:0a:17:05:10:9c]
RSSI: -76 [da:0a:17:12:10:cc]
RSSI: -77 [da:0a:17:12:10:cc]
RSSI: -78 [da:0a:17:22:10:fc]
RSSI: -79 [da:0a:17:22:10:fc]
RSSI: -80 [da:0a:17:31:11:2c]
RSSI: -80 [da:0a:17:31:11:2c]
RSSI: -88 [da:0a:17:4e:11:7c]
RSSI: -92 [da:51:4b:a2:0f:fa]
RSSI: -89 [da:0a:17:5e:11:ac]
RSSI: -86 [da:0a:17:7a:12:0c]
RSSI: -83 [da:0a:17:7a:12:0c]
RSSI: -86 [da:0a:17:8a:12:3c]
RSSI: -85 [da:0a:17:8a:12:3c]
RSSI: -82 [da:0a:17:8a:12:3c]
RSSI: -80 [da:0a:17:96:12:5c]
RSSI: -78 [da:0a:17:a6:12:8c]
RSSI: -80 [da:0a:17:a6:12:8c]
RSSI: -80 [da:0a:17:b6:12:bc]
RSSI: -81 [da:0a:17:b6:12:bc]
RSSI: -78 [da:0a:17:b6:12:bc]
RSSI: -78 [da:0a:17:c3:12:dc]
RSSI: -78 [da:0a:17:c3:12:dc]
RSSI: -76 [da:0a:17:d3:13:0c]
RSSI: -75 [da:0a:17:d3:13:0c]
RSSI: -77 [da:0a:17:e2:13:3c]
RSSI: -75 [da:0a:17:e2:13:3c]
RSSI: -75 [da:0a:17:ef:13:5c]
RSSI: -78 [da:0a:17:ef:13:5c]
RSSI: -76 [da:0a:17:ff:13:8c]
RSSI: -75 [da:0a:18:0e:13:bc]
RSSI: -76 [da:0a:18:0e:13:bc]
RSSI: -75 [da:0a:18:1b:13:ec]
RSSI: -74 [da:0a:18:1b:13:ec]
RSSI: -79 [da:0a:18:2b:14:1c]
RSSI: -75 [da:0a:18:3b:14:4c]
RSSI: -74 [da:0a:18:47:14:6c]
RSSI: -76 [da:0a:18:47:14:6c]
RSSI: -76 [da:0a:18:57:14:9c]
RSSI: -82 [da:0a:18:74:14:ec]
RSSI: -79 [da:0a:18:74:14:ec]
RSSI: -76 [da:0a:18:93:15:4c]
RSSI: -78 [da:0a:18:a0:15:7c]
RSSI: -71 [da:0a:18:a0:15:7c]
RSSI: -75 [da:0a:18:b0:15:ac]
RSSI: -69 [da:0a:18:c0:15:dc]
RSSI: -70 [da:0a:18:c0:15:dc]
RSSI: -67 [da:0a:18:cc:15:fc]
RSSI: -67 [da:0a:18:cc:15:fc]
RSSI: -66 [da:0a:18:dc:16:2c]
RSSI: -66 [da:0a:18:ec:16:5c]
RSSI: -69 [da:0a:18:ec:16:5c]
RSSI: -69 [da:0a:18:ec:16:5c]
RSSI: -65 [da:0a:18:f9:00:0c]
RSSI: -64 [da:0a:19:08:00:2c]
RSSI: -64 [da:0a:19:08:00:2c]
RSSI: -65 [da:0a:19:18:00:5c]
RSSI: -68 [da:0a:19:25:00:8c]
RSSI: -96 [da:4f:69:5a:13:6b]
RSSI: -65 [da:0a:19:35:00:bc]
RSSI: -68 [da:0a:19:35:00:bc]
RSSI: -65 [da:0a:19:45:00:ec]
RSSI: -66 [da:0a:19:45:00:ec]
RSSI: -66 [da:0a:19:51:01:0c]
RSSI: -67 [da:0a:19:51:01:0c]
RSSI: -71 [da:0a:19:61:01:3c]
RSSI: -68 [da:0a:19:61:01:3c]
RSSI: -70 [da:0a:19:71:01:6c]
RSSI: -73 [da:0a:19:71:01:6c]
RSSI: -74 [da:0a:19:7e:01:8c]
RSSI: -74 [da:0a:19:8e:01:bc]
RSSI: -79 [da:0a:19:8e:01:bc]
RSSI: -80 [da:0a:19:8e:01:bc]
RSSI: -86 [da:0a:19:9d:01:fc]
RSSI: -80 [da:0a:19:9d:01:fc]
RSSI: -81 [da:0a:19:aa:02:1c]
RSSI: -94 [da:51:4d:f8:00:4a]
RSSI: -78 [da:0a:19:ba:02:4c]
RSSI: -77 [da:0a:19:ba:02:4c]
RSSI: -80 [da:0a:19:ca:02:7c]
RSSI: -77 [da:0a:19:ca:02:7c]
RSSI: -78 [da:0a:19:d6:02:9c]
RSSI: -74 [da:0a:19:e6:02:dc]
RSSI: -78 [da:0a:19:e6:02:dc]
RSSI: -79 [da:0a:19:f6:03:0c]
RSSI: -75 [da:0a:19:f6:03:0c]
RSSI: -80 [da:0a:1a:03:03:2c]
RSSI: -90 [da:51:4e:51:01:4a]
RSSI: -82 [da:0a:1a:03:03:2c]
RSSI: -85 [da:0a:1a:13:03:5c]
RSSI: -83 [da:0a:1a:13:03:5c]
RSSI: -77 [da:0a:1a:23:03:8c]
RSSI: -85 [da:0a:1a:23:03:8c]
RSSI: -75 [da:0a:1a:2f:03:ac]
RSSI: -79 [da:0a:1a:3f:03:dc]
RSSI: -81 [da:0a:1a:4f:04:0c]
RSSI: -79 [da:0a:1a:4f:04:0c]
RSSI: -83 [da:0a:1a:5c:04:3c]
RSSI: -76 [da:0a:1a:6c:04:6c]
RSSI: -85 [da:0a:1a:6c:04:6c]
RSSI: -83 [da:0a:1a:7b:04:9c]
RSSI: -86 [da:0a:1a:88:04:bc]
RSSI: -92 [da:51:4e:d1:02:aa]
RSSI: -82 [da:0a:1a:a8:05:1c]
RSSI: -81 [da:0a:1a:b5:05:4c]
RSSI: -80 [da:0a:1a:b5:05:4c]
RSSI: -81 [da:0a:1a:c5:05:7c]
RSSI: -92 [da:4f:6a:f9:01:db]
RSSI: -91 [da:51:4f:1e:03:8a]
RSSI: -79 [da:0a:1a:d4:05:ac]
RSSI: -82 [da:0a:1a:d4:05:ac]
RSSI: -78 [da:0a:1a:e1:05:cc]
RSSI: -79 [da:0a:1a:e1:05:cc]
RSSI: -89 [da:4f:6b:22:02:4b]
RSSI: -89 [da:51:4f:38:03:ca]
RSSI: -89 [da:4f:6b:22:02:4b]
RSSI: -80 [da:0a:1a:f1:05:fc]
RSSI: -85 [da:0a:1b:01:06:2c]
RSSI: -86 [da:51:4f:52:04:1a]
RSSI: -82 [da:0a:1b:0e:06:5c]
RSSI: -84 [da:0a:1b:0e:06:5c]
RSSI: -90 [da:4f:6b:4a:02:cb]
RSSI: -81 [da:0a:1b:1e:06:8c]
RSSI: -88 [da:4f:6b:58:02:fb]
RSSI: -82 [da:0a:1b:1e:06:8c]
RSSI: -89 [da:4f:6b:58:02:fb]
RSSI: -79 [da:0a:1b:2d:06:bc]
RSSI: -88 [da:4f:6b:65:03:1b]
RSSI: -80 [da:0a:1b:3a:06:dc]
RSSI: -78 [da:0a:1b:3a:06:dc]
RSSI: -88 [da:51:4f:92:04:ca]
RSSI: -88 [da:4f:6b:81:03:6b]
RSSI: -88 [da:51:4f:92:04:ca]
RSSI: -80 [da:0a:1b:4a:07:1c]
RSSI: -89 [da:4f:6b:81:03:6b]
RSSI: -86 [da:51:4f:9e:04:ea]
RSSI: -88 [da:4f:6b:8e:03:9b]
RSSI: -84 [da:0a:1b:5a:07:4c]
RSSI: -77 [da:0a:1b:67:07:6c]
RSSI: -83 [da:51:4f:b8:05:3a]
RSSI: -81 [da:0a:1b:67:07:6c]
RSSI: -83 [da:51:4f:b8:05:3a]
RSSI: -83 [da:51:4f:b8:05:3a]
RSSI: -90 [da:4f:6b:aa:03:eb]
RSSI: -76 [da:0a:1b:77:07:9c]
RSSI: -82 [da:51:4f:c5:05:5a]
RSSI: -76 [da:0a:1b:87:07:cc]
RSSI: -82 [da:51:4f:d2:05:7a]
RSSI: -76 [da:0a:1b:87:07:cc]
RSSI: -80 [da:0a:1b:93:07:fc]
RSSI: -80 [da:51:4f:df:05:aa]
RSSI: -79 [da:0a:1b:93:07:fc]
RSSI: -79 [da:51:4f:df:05:aa]
RSSI: -80 [da:51:4f:df:05:aa]
RSSI: -76 [da:0a:1b:93:07:fc]
RSSI: -79 [da:51:4f:eb:05:ca]
RSSI: -82 [da:0a:1b:a3:08:2c]
RSSI: -92 [da:4f:6b:e0:04:8b]
RSSI: -81 [da:0a:1b:b3:08:5c]
RSSI: -78 [da:51:50:05:06:1a]
RSSI: -79 [da:51:50:05:06:1a]
RSSI: -77 [da:0a:1b:c0:08:8c]
RSSI: -83 [da:0a:1b:c0:08:8c]
RSSI: -78 [da:51:50:12:06:3a]
RSSI: -80 [da:0a:1b:d0:08:bc]
RSSI: -76 [da:0a:1b:d0:08:bc]
RSSI: -78 [da:51:50:1f:06:5a]
RSSI: -76 [da:0a:1b:d0:08:bc]
RSSI: -78 [da:51:50:2c:06:8a]
RSSI: -78 [da:0a:1b:e0:08:ec]
RSSI: -78 [da:51:50:2c:06:8a]
RSSI: -81 [da:0a:1b:ec:09:0c]
RSSI: -77 [da:51:50:39:06:aa]
RSSI: -78 [da:0a:1b:ec:09:0c]
RSSI: -78 [da:51:50:45:06:ca]
RSSI: -81 [da:0a:1b:fc:09:3c]
RSSI: -78 [da:51:50:52:06:fa]
RSSI: -82 [da:0a:1c:0c:09:6c]
RSSI: -78 [da:51:50:52:06:fa]
RSSI: -86 [da:0a:1c:0c:09:6c]
RSSI: -78 [da:51:50:5f:07:1a]
RSSI: -84 [da:0a:1c:19:09:9c]
RSSI: -79 [da:51:50:6c:07:3a]
RSSI: -78 [da:51:50:79:07:5a]
RSSI: -85 [da:0a:1c:29:09:cc]
RSSI: -79 [da:51:50:79:07:5a]
RSSI: -83 [da:0a:1c:39:09:fc]
RSSI: -79 [da:51:50:86:07:7a]
RSSI: -87 [da:0a:1c:46:0a:2c]
RSSI: -81 [da:51:50:92:07:aa]
RSSI: -86 [da:0a:1c:46:0a:2c]
RSSI: -80 [da:51:50:9f:07:ca]
RSSI: -82 [da:51:50:9f:07:ca]
RSSI: -81 [da:0a:1c:56:0a:5c]
RSSI: -80 [da:51:50:ac:07:ea]
RSSI: -80 [da:51:50:ac:07:ea]
RSSI: -84 [da:51:50:b9:08:0a]
RSSI: -80 [da:0a:1c:72:0a:ac]
RSSI: -87 [da:0a:1c:72:0a:ac]
RSSI: -84 [da:51:50:c6:08:3a]
RSSI: -87 [da:51:50:c6:08:3a]
RSSI: -86 [da:51:50:d3:08:5a]
RSSI: -84 [da:0a:1c:92:0b:1c]
RSSI: -75 [da:0a:1c:92:0b:1c]
RSSI: -75 [da:0a:1c:9f:0b:3c]
RSSI: -81 [da:0a:1c:af:0b:6c]
RSSI: -84 [da:0a:1c:bf:0b:9c]
RSSI: -88 [da:51:51:13:09:0a]
RSSI: -89 [da:51:51:13:09:0a]
RSSI: -75 [da:0a:1c:cc:0b:cc]
RSSI: -85 [da:51:51:20:09:3a]
RSSI: -83 [da:0a:1c:dc:0b:fc]
RSSI: -90 [da:51:51:2d:09:5a]
RSSI: -76 [da:0a:1c:dc:0b:fc]
RSSI: -82 [da:0a:1c:ec:0c:2c]
RSSI: -78 [da:0a:1c:f8:0c:4c]
RSSI: -83 [da:0a:1c:f8:0c:4c]
RSSI: -80 [da:0a:1d:08:0c:8c]
RSSI: -78 [da:0a:1d:08:0c:8c]
RSSI: -86 [da:0a:1d:18:0c:bc]
RSSI: -85 [da:0a:1d:25:0c:dc]
RSSI: -92 [da:51:51:94:0a:7a]
RSSI: -93 [da:51:51:a1:0a:aa]
RSSI: -80 [da:0a:1d:52:0d:6c]
RSSI: -92 [da:51:51:a1:0a:aa]
RSSI: -79 [da:0a:1d:62:0d:9c]
RSSI: -82 [da:0a:1d:72:0d:cc]
RSSI: -75 [da:0a:1d:7e:0d:fc]
RSSI: -74 [da:0a:1d:7e:0d:fc]
RSSI: -75 [da:0a:1d:8e:0e:2c]
RSSI: -76 [da:0a:1d:9e:0e:5c]
RSSI: -73 [da:0a:1d:9e:0e:5c]
RSSI: -73 [da:0a:1d:ab:0e:7c]
RSSI: -76 [da:0a:1d:bb:0e:ac]
RSSI: -74 [da:0a:1d:cb:0e:ec]
RSSI: -76 [da:0a:1d:cb:0e:ec]
RSSI: -74 [da:0a:1d:d8:0f:0c]
RSSI: -77 [da:0a:1d:e8:0f:3c]
RSSI: -73 [da:0a:1d:e8:0f:3c]
RSSI: -75 [da:0a:1d:f8:0f:6c]
RSSI: -75 [da:0a:1d:f8:0f:6c]
RSSI: -74 [da:0a:1e:05:0f:9c]
RSSI: -73 [da:0a:1e:05:0f:9c]
RSSI: -74 [da:0a:1e:15:0f:cc]
RSSI: -74 [da:0a:1e:15:0f:cc]
RSSI: -75 [da:0a:1e:25:0f:fc]
RSSI: -75 [da:0a:1e:25:0f:fc]
RSSI: -93 [da:51:52:70:0c:ea]
RSSI: -76 [da:0a:1e:31:10:1c]
RSSI: -77 [da:0a:1e:31:10:1c]
RSSI: -76 [da:0a:1e:42:10:5c]
RSSI: -97 [da:51:52:96:0d:5a]
RSSI: -77 [da:0a:1e:52:10:8c]
RSSI: -76 [da:0a:1e:52:10:8c]
RSSI: -76 [da:0a:1e:5e:10:ac]
RSSI: -78 [da:0a:1e:6e:10:dc]
RSSI: -78 [da:0a:1e:6e:10:dc]
RSSI: -82 [da:0a:1e:7e:11:0c]
RSSI: -83 [da:0a:1e:7e:11:0c]
RSSI: -85 [da:0a:1e:8b:11:3c]
RSSI: -86 [da:0a:1e:8b:11:3c]
RSSI: -86 [da:0a:1e:9b:11:6c]
RSSI: -86 [da:0a:1e:ab:11:9c]
RSSI: -86 [da:0a:1e:b8:11:cc]
RSSI: -83 [da:0a:1e:d8:12:2c]
RSSI: -80 [da:0a:1e:d8:12:2c]
RSSI: -83 [da:0a:1e:e5:12:4c]
RSSI: -80 [da:0a:1e:f5:12:8c]
RSSI: -81 [da:0a:1e:f5:12:8c]
RSSI: -80 [da:0a:1f:05:12:bc]
RSSI: -77 [da:0a:1f:12:12:dc]
RSSI: -78 [da:0a:1f:12:12:dc]
RSSI: -77 [da:0a:1f:22:13:0c]
RSSI: -76 [da:0a:1f:22:13:0c]
RSSI: -76 [da:0a:1f:32:13:3c]
RSSI: -74 [da:0a:1f:47:13:7c]
RSSI: -77 [da:0a:1f:47:13:7c]
RSSI: -75 [da:0a:1f:57:13:ac]
RSSI: -76 [da:0a:1f:67:13:dc]
RSSI: -76 [da:0a:1f:67:13:dc]
RSSI: -80 [da:0a:1f:74:13:fc]
RSSI: -74 [da:0a:1f:74:13:fc]
RSSI: -81 [da:0a:1f:84:14:2c]
RSSI: -75 [da:0a:1f:91:14:4c]
RSSI: -73 [da:0a:1f:a1:14:7c]
RSSI: -74 [da:0a:1f:a1:14:7c]
RSSI: -81 [da:0a:1f:ae:14:9c]
RSSI: -78 [da:0a:1f:ba:14:cc]
RSSI: -83 [da:0a:1f:d4:15:1c]
RSSI: -81 [da:0a:1f:e0:15:3c]
RSSI: -78 [da:0a:1f:ed:15:5c]
RSSI: -80 [da:0a:1f:fa:15:8c]
RSSI: -72 [da:0a:20:06:15:ac]
RSSI: -72 [da:0a:20:06:15:ac]
RSSI: -71 [da:0a:20:13:15:dc]
RSSI: -74 [da:0a:20:20:15:fc]
RSSI: -69 [da:0a:20:2c:16:1c]
RSSI: -68 [da:0a:20:2c:16:1c]
RSSI: -68 [da:0a:20:39:16:4c]
RSSI: -70 [da:0a:20:46:16:6c]
RSSI: -67 [da:0a:20:52:00:0c]
RSSI: -66 [da:0a:20:52:00:0c]
RSSI: -66 [da:0a:20:5f:00:2c]
RSSI: -69 [da:0a:20:6c:00:4c]
RSSI: -67 [da:0a:20:79:00:7c]
RSSI: -67 [da:0a:20:79:00:7c]
RSSI: -67 [da:0a:20:85:00:9c]
RSSI: -70 [da:0a:20:92:00:bc]
RSSI: -68 [da:0a:20:9f:00:ec]
RSSI: -68 [da:0a:20:9f:00:ec]
RSSI: -71 [da:0a:20:b8:01:3c]
RSSI: -72 [da:0a:20:b8:01:3c]
RSSI: -71 [da:0a:20:c5:01:5c]
RSSI: -74 [da:0a:20:c5:01:5c]
RSSI: -75 [da:0a:20:d2:01:7c]
RSSI: -80 [da:0a:20:de:01:ac]
RSSI: -78 [da:0a:20:de:01:ac]
RSSI: -80 [da:0a:20:eb:01:cc]
RSSI: -85 [da:0a:20:eb:01:cc]
