-70 [da:2f:8d:53:0d:ea]
RSSI: -76 [da:30:99:09:00:ab]
RSSI: -81 [da:30:99:18:00:db]
RSSI: -79 [da:30:99:18:00:db]
RSSI: -83 [da:38:20:55:0f:bc]
RSSI: -79 [da:30:99:25:01:0b]
RSSI: -73 [da:38:20:73:10:1c]
RSSI: -78 [da:30:99:43:01:5b]
RSSI: -74 [da:38:20:80:10:4c]
RSSI: -78 [da:30:99:4f:01:8b]
RSSI: -73 [da:38:20:8f:10:7c]
RSSI: -71 [da:38:20:8f:10:7c]
RSSI: -90 [da:35:86:70:0b:4e]
RSSI: -79 [da:30:99:5f:01:ab]
RSSI: -70 [da:38:20:9e:10:ac]
RSSI: -78 [da:30:99:6e:01:db]
RSSI: -71 [da:38:20:ab:10:cc]
RSSI: -70 [da:38:20:ab:10:cc]
RSSI: -80 [da:30:99:7a:01:fb]
RSSI: -70 [da:38:20:ba:10:fc]
RSSI: -80 [da:30:99:89:02:2b]
RSSI: -70 [da:38:20:c9:11:2c]
RSSI: -84 [da:30:99:98:02:5b]
RSSI: -70 [da:38:20:d5:11:5c]
RSSI: -85 [da:30:99:a5:02:7b]
RSSI: -70 [da:38:20:e4:11:8c]
RSSI: -85 [da:35:86:b2:0c:0e]
RSSI: -90 [da:30:99:b4:02:ab]
RSSI: -87 [da:35:86:c0:0c:2e]
RSSI: -70 [da:38:20:f3:11:bc]
RSSI: -83 [da:35:86:cc:0c:4e]
RSSI: -70 [da:38:20:f3:11:bc]
RSSI: -83 [da:35:86:cc:0c:4e]
RSSI: -71 [da:38:21:00:11:dc]
RSSI: -81 [da:35:86:da:0c:7e]
RSSI: -82 [da:35:86:e8:0c:9e]
RSSI: -72 [da:38:21:1e:12:3c]
RSSI: -81 [da:35:86:f5:0c:ce]
RSSI: -73 [da:38:21:1e:12:3c]
RSSI: -81 [da:35:86:f5:0c:ce]
RSSI: -75 [da:38:21:2b:12:6c]
RSSI: -80 [da:35:87:02:0c:ee]
RSSI: -75 [da:38:21:2b:12:6c]
RSSI: -78 [da:38:21:49:12:cc]
RSSI: -81 [da:38:21:49:12:cc]
RSSI: -79 [da:35:87:1d:0d:3e]
RSSI: -82 [da:38:21:49:12:cc]
RSSI: -79 [da:35:87:2b:0d:6e]
RSSI: -85 [da:38:21:55:12:ec]
RSSI: -80 [da:35:87:2b:0d:6e]
RSSI: -82 [da:35:87:38:0d:8e]
RSSI: -80 [da:35:87:45:0d:ae]
RSSI: -85 [da:38:21:73:13:4c]
RSSI: -79 [da:35:87:45:0d:ae]
RSSI: -82 [da:35:87:45:0d:ae]
RSSI: -80 [da:38:21:73:13:4c]
RSSI: -79 [da:35:87:53:0d:de]
RSSI: -79 [da:35:87:53:0d:de]
RSSI: -80 [da:35:87:53:0d:de]
RSSI: -80 [da:35:87:53:0d:de]
RSSI: -91 [da:30:9a:51:04:7b]
RSSI: -81 [da:35:87:60:0d:fe]
RSSI: -79 [da:38:21:8f:13:ac]
RSSI: -80 [da:35:87:6d:0e:1e]
RSSI: -91 [da:30:9a:60:04:ab]
RSSI: -80 [da:38:21:9e:13:dc]
RSSI: -82 [da:35:87:6d:0e:1e]
RSSI: -80 [da:38:21:9e:13:dc]
RSSI: -79 [da:35:87:7b:0e:4e]
RSSI: -81 [da:35:87:7b:0e:4e]
RSSI: -83 [da:38:21:ab:13:fc]
RSSI: -80 [da:35:87:89:0e:6e]
RSSI: -87 [da:38:21:ba:14:2c]
RSSI: -81 [da:35:87:95:0e:8e]
RSSI: -91 [da:30:9a:9a:05:5b]
RSSI: -81 [da:35:87:a3:0e:be]
RSSI: -83 [da:38:21:d6:14:8c]
RSSI: -86 [da:38:21:d6:14:8c]
RSSI: -80 [da:35:87:b1:0e:de]
RSSI: -85 [da:38:21:e5:14:bc]
RSSI: -85 [da:35:87:bd:0e:fe]
RSSI: -80 [da:38:21:e5:14:bc]
RSSI: -86 [da:35:87:bd:0e:fe]
RSSI: -82 [da:38:21:f4:14:dc]
RSSI: -84 [da:35:87:cb:0f:2e]
RSSI: -82 [da:38:21:f4:14:dc]
RSSI: -82 [da:38:22:00:15:0c]
RSSI: -86 [da:35:87:d9:0f:4e]
RSSI: -84 [da:38:22:10:15:3c]
RSSI: -85 [da:35:87:e6:0f:7e]
RSSI: -83 [da:38:22:10:15:3c]
RSSI: -88 [da:30:9a:e1:06:3b]
RSSI: -84 [da:38:22:1f:15:6c]
RSSI: -89 [da:32:7e:e4:06:ca]
RSSI: -83 [da:38:22:1f:15:6c]
RSSI: -86 [da:38:22:2b:15:8c]
RSSI: -86 [da:32:7f:04:07:2a]
RSSI: -82 [da:38:22:3a:15:bc]
RSSI: -83 [da:38:22:3a:15:bc]
RSSI: -84 [da:32:7f:11:07:4a]
RSSI: -87 [da:35:88:1c:10:1e]
RSSI: -83 [da:32:7f:21:07:7a]
RSSI: -83 [da:32:7f:21:07:7a]
RSSI: -87 [da:38:22:56:16:1c]
RSSI: -83 [da:32:7f:31:07:aa]
RSSI: -85 [da:38:22:65:16:4c]
RSSI: -83 [da:38:22:65:16:4c]
RSSI: -83 [da:32:7f:3e:07:ca]
RSSI: -85 [da:32:7f:3e:07:ca]
RSSI: -85 [da:38:22:74:16:7c]
RSSI: -82 [da:38:22:81:00:0c]
RSSI: -90 [da:30:9b:53:07:8b]
RSSI: -80 [da:38:22:90:00:2c]
RSSI: -84 [da:32:7f:5e:08:2a]
RSSI: -82 [da:38:22:90:00:2c]
RSSI: -88 [da:30:9b:62:07:bb]
RSSI: -84 [da:32:7f:6b:08:4a]
RSSI: -82 [da:38:22:9f:00:5c]
RSSI: -88 [da:30:9b:71:07:eb]
RSSI: -83 [da:32:7f:7b:08:7a]
RSSI: -82 [da:32:7f:8b:08:aa]
RSSI: -79 [da:32:7f:8b:08:aa]
RSSI: -83 [da:38:22:ca:00:ec]
RSSI: -89 [da:30:9b:8d:08:3b]
RSSI: -82 [da:32:7f:97:08:ca]
RSSI: -87 [da:30:9b:9c:08:6b]
RSSI: -80 [da:32:7f:a8:08:fa]
RSSI: -85 [da:38:22:d7:01:0c]
RSSI: -80 [da:32:7f:a8:08:fa]
RSSI: -85 [da:30:9b:a9:08:8b]
RSSI: -79 [da:32:7f:b8:09:2a]
RSSI: -86 [da:38:22:e6:01:3c]
RSSI: -88 [da:30:9b:b8:08:bb]
RSSI: -78 [da:32:7f:c4:09:4a]
RSSI: -78 [da:32:7f:c4:09:4a]
RSSI: -78 [da:32:7f:c4:09:4a]
RSSI: -77 [da:32:7f:d4:09:7a]
RSSI: -86 [da:30:9b:d4:09:0b]
RSSI: -76 [da:32:7f:d4:09:7a]
RSSI: -88 [da:38:23:11:01:cc]
RSSI: -88 [da:30:9b:e3:09:3b]
RSSI: -87 [da:38:23:20:01:fc]
RSSI: -90 [da:30:9b:e3:09:3b]
RSSI: -76 [da:32:7f:f1:09:ca]
RSSI: -76 [da:32:7f:f1:09:ca]
RSSI: -76 [da:32:80:01:09:fa]
RSSI: -92 [da:30:9b:ff:09:8b]
RSSI: -92 [da:35:89:0d:12:ce]
RSSI: -75 [da:32:80:11:0a:2a]
RSSI: -89 [da:38:23:4b:02:7c]
RSSI: -77 [da:32:80:1e:0a:4a]
RSSI: -88 [da:30:9c:2a:0a:0b]
RSSI: -77 [da:32:80:2e:0a:7a]
RSSI: -78 [da:32:80:3e:0a:aa]
RSSI: -89 [da:38:23:76:03:0c]
RSSI: -77 [da:32:80:4b:0a:da]
RSSI: -79 [da:32:80:4b:0a:da]
RSSI: -78 [da:32:80:5b:0b:0a]
RSSI: -87 [da:38:23:92:03:5c]
RSSI: -81 [da:32:80:6b:0b:2a]
RSSI: -80 [da:32:80:6b:0b:2a]
RSSI: -84 [da:38:23:a1:03:8c]
RSSI: -88 [da:38:23:a1:03:8c]
RSSI: -83 [da:32:80:77:0b:5a]
RSSI: -96 [da:38:23:bd:03:ec]
RSSI: -92 [da:35:89:94:14:4e]
RSSI: -85 [da:32:80:98:0b:ba]
RSSI: -91 [da:32:80:98:0b:ba]
RSSI: -88 [da:32:80:a4:0b:da]
RSSI: -91 [da:35:89:af:14:8e]
RSSI: -88 [da:38:24:03:04:cc]
RSSI: -85 [da:38:24:13:04:fc]
RSSI: -82 [da:32:80:e1:0c:8a]
RSSI: -86 [da:32:80:f1:0c:ba]
RSSI: -88 [da:32:80:fe:0c:da]
RSSI: -83 [da:38:24:3e:05:7c]
RSSI: -88 [da:32:81:0e:0d:0a]
RSSI: -87 [da:38:24:3e:05:7c]
RSSI: -83 [da:38:24:4d:05:ac]
RSSI: -83 [da:38:24:4d:05:ac]
RSSI: -87 [da:32:81:1e:0d:3a]
RSSI: -83 [da:38:24:59:05:dc]
RSSI: -83 [da:38:24:59:05:dc]
RSSI: -82 [da:38:24:69:06:0c]
RSSI: -83 [da:38:24:78:06:3c]
RSSI: -85 [da:38:24:78:06:3c]
RSSI: -95 [da:35:8a:5f:00:2e]
RSSI: -93 [da:32:81:58:0d:da]
RSSI: -81 [da:38:24:84:06:5c]
RSSI: -83 [da:38:24:94:06:8c]
RSSI: -87 [da:32:81:79:0e:3a]
RSSI: -80 [da:38:24:af:06:ec]
RSSI: -89 [da:32:81:85:0e:5a]
RSSI: -85 [da:38:24:bf:07:1c]
RSSI: -80 [da:38:24:bf:07:1c]
RSSI: -84 [da:38:24:ce:07:4c]
RSSI: -79 [da:38:24:ea:07:9c]
RSSI: -91 [da:38:24:ea:07:9c]
RSSI: -81 [da:38:24:f9:07:cc]
RSSI: -81 [da:38:25:06:07:fc]
RSSI: -81 [da:38:25:15:08:2c]
RSSI: -80 [da:38:25:24:08:5c]
RSSI: -80 [da:38:25:24:08:5c]
RSSI: -80 [da:38:25:31:08:7c]
RSSI: -77 [da:38:25:31:08:7c]
RSSI: -80 [da:38:25:40:08:ac]
RSSI: -80 [da:38:25:4f:08:dc]
RSSI: -80 [da:38:25:5c:09:0c]
RSSI: -77 [da:38:25:6b:09:3c]
RSSI: -80 [da:38:25:7a:09:6c]
RSSI: -81 [da:38:25:87:09:8c]
RSSI: -94 [da:30:9e:4f:10:8b]
RSSI: -90 [da:32:82:5f:10:ca]
RSSI: -80 [da:38:25:87:09:8c]
RSSI: -79 [da:38:25:96:09:bc]
RSSI: -79 [da:38:25:96:09:bc]
RSSI: -79 [da:38:25:a6:09:ec]
RSSI: -77 [da:38:25:a6:09:ec]
RSSI: -92 [da:32:82:78:11:1a]
RSSI: -80 [da:38:25:b2:0a:1c]
RSSI: -78 [da:38:25:b2:0a:1c]
RSSI: -81 [da:38:25:c2:0a:4c]
RSSI: -80 [da:38:25:c2:0a:4c]
RSSI: -80 [da:38:25:d1:0a:7c]
RSSI: -81 [da:38:25:dd:0a:9c]
RSSI: -81 [da:38:25:dd:0a:9c]
RSSI: -80 [da:38:25:ed:0a:cc]
RSSI: -80 [da:38:25:ed:0a:cc]
RSSI: -81 [da:38:25:fc:0a:fc]
RSSI: -82 [da:38:26:09:0b:2c]
RSSI: -82 [da:38:26:09:0b:2c]
RSSI: -85 [da:38:26:18:0b:5c]
RSSI: -89 [da:38:26:18:0b:5c]
RSSI: -92 [da:32:82:f7:12:8a]
RSSI: -86 [da:38:26:27:0b:8c]
RSSI: -89 [da:38:26:34:0b:bc]
RSSI: -88 [da:38:26:34:0b:bc]
RSSI: -93 [da:38:26:52:0c:1c]
RSSI: -98 [da:32:83:2a:13:1a]
RSSI: -91 [da:38:26:5f:0c:3c]
RSSI: -87 [da:30:9f:35:13:3b]
RSSI: -86 [da:30:9f:35:13:3b]
RSSI: -88 [da:38:26:6e:0c:6c]
RSSI: -83 [da:38:26:7e:0c:9c]
RSSI: -82 [da:38:26:7e:0c:9c]
RSSI: -87 [da:30:9f:54:13:8b]
RSSI: -85 [da:38:26:8a:0c:cc]
RSSI: -84 [da:38:26:8a:0c:cc]
RSSI: -85 [da:38:26:9a:0c:fc]
RSSI: -85 [da:38:26:9a:0c:fc]
RSSI: -85 [da:38:26:a9:0d:2c]
RSSI: -88 [da:30:9f:7f:14:0b]
RSSI: -81 [da:38:26:b5:0d:5c]
RSSI: -82 [da:38:26:b5:0d:5c]
RSSI: -84 [da:30:9f:8c:14:3b]
RSSI: -82 [da:38:26:c5:0d:8c]
RSSI: -82 [da:38:26:c5:0d:8c]
RSSI: -83 [da:30:9f:9b:14:5b]
RSSI: -84 [da:38:26:d4:0d:bc]
RSSI: -87 [da:30:9f:ab:14:8b]
RSSI: -83 [da:38:26:e1:0d:dc]
RSSI: -82 [da:38:26:e1:0d:dc]
RSSI: -85 [da:38:26:f0:0e:0c]
RSSI: -80 [da:38:26:ff:0e:3c]
RSSI: -82 [da:38:26:ff:0e:3c]
RSSI: -80 [da:38:27:0c:0e:6c]
RSSI: -87 [da:30:9f:d6:15:0b]
RSSI: -78 [da:38:27:0c:0e:6c]
RSSI: -85 [da:30:9f:e3:15:2b]
RSSI: -82 [da:38:27:2b:0e:cc]
RSSI: -80 [da:38:27:37:0e:fc]
RSSI: -96 [da:35:8d:25:08:1e]
RSSI: -80 [da:30:a0:2d:16:0b]
RSSI: -80 [da:38:27:63:0f:7c]
RSSI: -81 [da:30:a0:3a:16:3b]
RSSI: -74 [da:38:27:81:0f:dc]
RSSI: -74 [da:38:27:81:0f:dc]
RSSI: -72 [da:38:27:8e:10:0c]
RSSI: -72 [da:38:27:8e:10:0c]
RSSI: -77 [da:30:a0:65:00:2b]
RSSI: -71 [da:38:27:9d:10:3c]
RSSI: -70 [da:38:27:9d:10:3c]
RSSI: -69 [da:38:27:ad:10:6c]
RSSI: -79 [da:30:a0:75:00:5b]
RSSI: -68 [da:38:27:ad:10:6c]
RSSI: -77 [da:30:a0:75:00:5b]
RSSI: -81 [da:30:a0:84:00:8b]
RSSI: -67 [da:38:27:b9:10:8c]
RSSI: -67 [da:38:27:b9:10:8c]
RSSI: -68 [da:38:27:c9:10:bc]
RSSI: -79 [da:30:a0:91:00:ab]
RSSI: -66 [da:38:27:c9:10:bc]
RSSI: -80 [da:30:a0:91:00:ab]
RSSI: -77 [da:30:a0:91:00:ab]
RSSI: -65 [da:38:27:d8:10:ec]
RSSI: -68 [da:38:27:d8:10:ec]
RSSI: -80 [da:30:a0:a9:00:fb]
RSSI: -79 [da:30:a0:a9:00:fb]
RSSI: -65 [da:38:27:e5:11:1c]
RSSI: -76 [da:30:a0:b6:01:1b]
RSSI: -65 [da:38:27:e5:11:1c]
RSSI: -80 [da:30:a0:b6:01:1b]
RSSI: -66 [da:38:27:f4:11:4c]
RSSI: -77 [da:30:a0:c2:01:3b]
RSSI: -67 [da:38:28:03:11:7c]
RSSI: -67 [da:38:28:03:11:7c]
RSSI: -65 [da:38:28:03:11:7c]
RSSI: -80 [da:30:a0:d3:01:6b]
RSSI: -66 [da:38:28:10:11:9c]
RSSI: -83 [da:30:a0:e2:01:9b]
RSSI: -68 [da:38:28:10:11:9c]
RSSI: -81 [da:30:a0:e2:01:9b]
RSSI: -67 [da:38:28:20:11:cc]
RSSI: -68 [da:38:28:2f:11:fc]
RSSI: -80 [da:30:a0:fe:01:eb]
RSSI: -71 [da:38:28:3c:12:2c]
RSSI: -85 [da:30:a1:0e:02:1b]
RSSI: -70 [da:38:28:3c:12:2c]
RSSI: -87 [da:30:a1:1a:02:4b]
RSSI: -73 [da:38:28:4b:12:5c]
RSSI: -87 [da:30:a1:1a:02:4b]
RSSI: -75 [da:38:28:5a:12:8c]
RSSI: -76 [da:38:28:5a:12:8c]
RSSI: -79 [da:38:28:67:12:ac]
RSSI: -81 [da:38:28:86:13:1c]
RSSI: -75 [da:38:28:92:13:3c]
RSSI: -76 [da:38:28:a2:13:6c]
RSSI: -77 [da:38:28:b1:13:9c]
RSSI: -77 [da:38:28:b1:13:9c]
RSSI: -78 [da:38:28:be:13:cc]
RSSI: -78 [da:38:28:be:13:cc]
RSSI: -90 [da:32:85:9b:03:aa]
RSSI: -79 [da:38:28:cd:13:fc]
RSSI: -91 [da:32:85:a8:03:da]
RSSI: -84 [da:38:28:e9:14:4c]
RSSI: -87 [da:35:8e:be:0c:be]
RSSI: -85 [da:38:28:e9:14:4c]
RSSI: -90 [da:35:8e:be:0c:be]
RSSI: -78 [da:38:29:08:14:ac]
RSSI: -82 [da:38:29:15:14:dc]
RSSI: -83 [da:38:29:24:15:0c]
RSSI: -83 [da:38:29:24:15:0c]
RSSI: -82 [da:38:29:34:15:3c]
RSSI: -84 [da:38:29:34:15:3c]
RSSI: -84 [da:38:29:34:15:3c]
RSSI: -82 [da:38:29:40:15:5c]
RSSI: -82 [da:38:29:50:15:8c]
RSSI: -86 [da:35:8f:2c:0d:fe]
RSSI: -82 [da:38:29:50:15:8c]
RSSI: -85 [da:35:8f:2c:0d:fe]
RSSI: -81 [da:38:29:5f:15:bc]
RSSI: -80 [da:38:29:5f:15:bc]
RSSI: -81 [da:38:29:6c:15:ec]
RSSI: -81 [da:38:29:6c:15:ec]
RSSI: -83 [da:38:29:81:16:2c]
RSSI: -81 [da:38:29:81:16:2c]
RSSI: -82 [da:38:29:91:16:5c]
RSSI: -82 [da:38:29:91:16:5c]
RSSI: -90 [da:32:86:68:05:fa]
RSSI: -82 [da:38:29:9e:00:0c]
RSSI: -80 [da:38:29:9e:00:0c]
RSSI: -80 [da:38:29:ad:00:3c]
RSSI: -90 [da:32:86:8f:06:6a]
RSSI: -83 [da:38:29:bc:00:6c]
RSSI: -89 [da:32:86:9c:06:8a]
RSSI: -83 [da:38:29:c9:00:8c]
RSSI: -87 [da:32:86:9c:06:8a]
RSSI: -87 [da:32:86:a9:06:aa]
RSSI: -86 [da:32:86:a9:06:aa]
RSSI: -84 [da:32:86:b5:06:da]
RSSI: -84 [da:32:86:b5:06:da]
RSSI: -83 [da:38:29:e8:00:ec]
RSSI: -91 [da:30:a2:b3:07:0b]
RSSI: -84 [da:32:86:c2:06:fa]
RSSI: -84 [da:32:86:c2:06:fa]
RSSI: -83 [da:32:86:cf:07:1a]
RSSI: -83 [da:38:29:f5:01:1c]
RSSI: -83 [da:32:86:cf:07:1a]
RSSI: -82 [da:32:86:dc:07:4a]
RSSI: -87 [da:38:2a:04:01:4c]
RSSI: -83 [da:32:86:e9:07:6a]
RSSI: -89 [da:38:2a:14:01:7c]
RSSI: -82 [da:32:86:e9:07:6a]
RSSI: -83 [da:32:86:f6:07:8a]
RSSI: -84 [da:32:86:f6:07:8a]
RSSI: -84 [da:32:86:f6:07:8a]
RSSI: -84 [da:32:87:02:07:ba]
RSSI: -84 [da:32:87:1c:07:fa]
RSSI: -85 [da:32:87:1c:07:fa]
RSSI: -87 [da:38:2a:4c:02:2c]
RSSI: -81 [da:32:87:29:08:1a]
RSSI: -80 [da:32:87:29:08:1a]
RSSI: -88 [da:30:a3:27:08:6b]
RSSI: -81 [da:32:87:36:08:4a]
RSSI: -78 [da:32:87:36:08:4a]
RSSI: -78 [da:32:87:43:08:6a]
RSSI: -78 [da:32:87:43:08:6a]
RSSI: -77 [da:32:87:4f:08:8a]
RSSI: -77 [da:32:87:4f:08:8a]
RSSI: -76 [da:32:87:4f:08:8a]
RSSI: -86 [da:30:a3:53:08:eb]
RSSI: -75 [da:32:87:5c:08:ba]
RSSI: -74 [da:32:87:5c:08:ba]
RSSI: -74 [da:32:87:69:08:da]
RSSI: -73 [da:32:87:69:08:da]
RSSI: -74 [da:32:87:76:08:fa]
RSSI: -73 [da:32:87:76:08:fa]
RSSI: -85 [da:38:2a:a3:03:3c]
RSSI: -73 [da:32:87:76:08:fa]
RSSI: -72 [da:32:87:83:09:2a]
RSSI: -73 [da:32:87:83:09:2a]
RSSI: -73 [da:32:87:90:09:4a]
RSSI: -71 [da:32:87:90:09:4a]
RSSI: -72 [da:32:87:9d:09:6a]
RSSI: -73 [da:32:87:9d:09:6a]
RSSI: -72 [da:32:87:9d:09:6a]
RSSI: -72 [da:32:87:aa:09:9a]
RSSI: -72 [da:32:87:b7:09:ba]
RSSI: -71 [da:32:87:b7:09:ba]
RSSI: -73 [da:32:87:c3:09:da]
RSSI: -72 [da:32:87:c3:09:da]
RSSI: -72 [da:32:87:d0:0a:0a]
RSSI: -72 [da:32:87:d0:0a:0a]
RSSI: -73 [da:32:87:dd:0a:2a]
RSSI: -72 [da:32:87:dd:0a:2a]
RSSI: -73 [da:32:87:ea:0a:4a]
RSSI: -73 [da:32:87:ea:0a:4a]
RSSI: -72 [da:32:87:f7:0a:6a]
RSSI: -74 [da:32:87:f7:0a:6a]
RSSI: -75 [da:32:88:04:0a:9a]
RSSI: -74 [da:32:88:04:0a:9a]
RSSI: -75 [da:32:88:11:0a:ba]
RSSI: -75 [da:32:88:11:0a:ba]
RSSI: -91 [da:35:91:19:13:6e]
RSSI: -84 [da:38:2b:45:05:2c]
RSSI: -76 [da:32:88:1e:0a:da]
RSSI: -76 [da:32:88:1e:0a:da]
RSSI: -77 [da:32:88:2b:0b:0a]
RSSI: -79 [da:32:88:2b:0b:0a]
RSSI: -85 [da:38:2b:71:05:bc]
RSSI: -96 [da:35:91:42:13:ee]
RSSI: -85 [da:38:2b:71:05:bc]
RSSI: -82 [da:32:88:44:0b:4a]
RSSI: -91 [da:35:91:5d:14:2e]
RSSI: -88 [da:32:88:5e:0b:9a]
RSSI: -89 [da:35:91:5d:14:2e]
RSSI: -83 [da:38:2b:8d:06:1c]
RSSI: -88 [da:32:88:6b:0b:ba]
RSSI: -82 [da:38:2b:a9:06:6c]
RSSI: -89 [da:32:88:78:0b:ea]
RSSI: -91 [da:35:91:86:14:9e]
RSSI: -80 [da:38:2b:b9:06:9c]
RSSI: -87 [da:32:88:ab:0c:7a]
RSSI: -86 [da:38:2b:d5:06:fc]
RSSI: -89 [da:32:88:ab:0c:7a]
RSSI: -84 [da:38:2b:f4:07:5c]
RSSI: -79 [da:38:2b:f4:07:5c]
RSSI: -92 [da:35:91:d8:15:8e]
RSSI: -82 [da:38:2c:01:07:8c]
RSSI: -90 [da:32:88:df:0d:0a]
RSSI: -80 [da:38:2c:11:07:bc]
RSSI: -79 [da:38:2c:20:07:ec]
RSSI: -86 [da:32:88:f9:0d:5a]
RSSI: -79 [da:38:2c:2d:08:0c]
RSSI: -77 [da:38:2c:3c:08:4c]
RSSI: -78 [da:38:2c:3c:08:4c]
RSSI: -86 [da:32:89:13:0d:aa]
RSSI: -84 [da:38:2c:4c:08:7c]
RSSI: -75 [da:38:2c:4c:08:7c]
RSSI: -81 [da:38:2c:59:08:9c]
RSSI: -74 [da:38:2c:68:08:cc]
RSSI: -79 [da:38:2c:68:08:cc]
RSSI: -74 [da:38:2c:78:08:fc]
RSSI: -80 [da:38:2c:84:09:2c]
RSSI: -89 [da:32:89:61:0e:8a]
RSSI: -80 [da:38:2c:94:09:5c]
RSSI: -75 [da:38:2c:94:09:5c]
RSSI: -90 [da:30:a5:62:0f:1b]
RSSI: -77 [da:38:2c:a4:09:8c]
RSSI: -90 [da:30:a5:71:0f:4b]
RSSI: -75 [da:38:2c:b0:09:bc]
RSSI: -76 [da:38:2c:b0:09:bc]
RSSI: -76 [da:38:2c:c0:09:ec]
RSSI: -78 [da:38:2c:cf:0a:1c]
RSSI: -77 [da:38:2c:dc:0a:3c]
RSSI: -81 [da:38:2c:dc:0a:3c]
RSSI: -78 [da:38:2c:ec:0a:7c]
RSSI: -83 [da:38:2c:fb:0a:ac]
RSSI: -82 [da:38:2c:fb:0a:ac]
RSSI: -82 [da:38:2d:08:0a:cc]
RSSI: -82 [da:38:2d:08:0a:cc]
RSSI: -82 [da:38:2d:18:0a:fc]
RSSI: -87 [da:30:a5:e6:10:ab]
RSSI: -84 [da:38:2d:27:0b:2c]
RSSI: -88 [da:30:a6:05:10:fb]
RSSI: -92 [da:38:2d:43:0b:8c]
RSSI: -87 [da:30:a6:12:11:2b]
RSSI: -89 [da:38:2d:53:0b:bc]
RSSI: -90 [da:32:8a:2f:10:da]
RSSI: -90 [da:32:8a:3d:10:fa]
RSSI: -90 [da:32:8a:4a:11:1a]
RSSI: -88 [da:38:2d:7f:0c:4c]
RSSI: -80 [da:38:2d:9b:0c:ac]
RSSI: -85 [da:38:2d:ab:0c:dc]
RSSI: -87 [da:38:2d:b8:0c:fc]
RSSI: -83 [da:38:2d:b8:0c:fc]
RSSI: -83 [da:38:2d:c7:0d:2c]
RSSI: -81 [da:38:2d:c7:0d:2c]
RSSI: -79 [da:38:2d:d7:0d:5c]
RSSI: -87 [da:30:a6:a6:12:eb]
RSSI: -81 [da:38:2d:e3:0d:8c]
RSSI: -81 [da:38:2d:e3:0d:8c]
RSSI: -84 [da:30:a6:b5:13:1b]
RSSI: -83 [da:38:2d:f3:0d:bc]
RSSI: -83 [da:30:a6:c2:13:3b]
RSSI: -84 [da:30:a6:c2:13:3b]
RSSI: -83 [da:38:2e:03:0d:ec]
RSSI: -84 [da:38:2e:0f:0e:1c]
RSSI: -81 [da:38:2e:0f:0e:1c]
RSSI: -92 [da:35:93:f2:05:0e]
RSSI: -82 [da:38:2e:1f:0e:4c]
RSSI: -81 [da:38:2e:2f:0e:7c]
RSSI: -80 [da:38:2e:2f:0e:7c]
RSSI: -83 [da:38:2e:3b:0e:9c]
RSSI: -84 [da:30:a7:0e:14:1b]
RSSI: -79 [da:38:2e:3b:0e:9c]
RSSI: -86 [da:30:a7:1a:14:3b]
RSSI: -83 [da:38:2e:4b:0e:cc]
RSSI: -86 [da:30:a7:1a:14:3b]
RSSI: -85 [da:30:a7:1a:14:3b]
RSSI: -83 [da:38:2e:5b:0f:0c]
RSSI: -88 [da:30:a7:2a:14:6b]
RSSI: -86 [da:38:2e:67:0f:2c]
RSSI: -84 [da:30:a7:3a:14:9b]
RSSI: -91 [da:30:a7:47:14:cb]
RSSI: -85 [da:38:2e:87:0f:8c]
RSSI: -81 [da:38:2e:87:0f:8c]
RSSI: -88 [da:30:a7:56:14:eb]
RSSI: -79 [da:38:2e:94:0f:bc]
RSSI: -85 [da:30:a7:66:15:1b]
RSSI: -76 [da:38:2e:a3:0f:ec]
RSSI: -84 [da:30:a7:73:15:4b]
RSSI: -74 [da:38:2e:a3:0f:ec]
RSSI: -72 [da:38:2e:b3:10:1c]
RSSI: -72 [da:38:2e:b3:10:1c]
RSSI: -71 [da:38:2e:b3:10:1c]
RSSI: -71 [da:38:2e:b3:10:1c]
RSSI: -85 [da:30:a7:83:15:7b]
RSSI: -71 [da:38:2e:c0:10:3c]
RSSI: -88 [da:30:a7:92:15:ab]
RSSI: -69 [da:38:2e:cf:10:7c]
RSSI: -70 [da:38:2e:cf:10:7c]
RSSI: -68 [da:38:2e:df:10:ac]
RSSI: -68 [da:38:2e:df:10:ac]
RSSI: -69 [da:38:2e:ec:10:cc]
RSSI: -68 [da:38:2e:ec:10:cc]
RSSI: -85 [da:30:a7:bf:16:2b]
RSSI: -70 [da:38:2e:fb:10:fc]
RSSI: -67 [da:38:2f:0b:11:3c]
RSSI: -68 [da:38:2f:0b:11:3c]
RSSI: -83 [da:30:a7:db:16:7b]
RSSI: -82 [da:30:a7:db:16:7b]
RSSI: -68 [da:38:2f:18:11:5c]
RSSI: -67 [da:38:2f:18:11:5c]
RSSI: -84 [da:30:a7:eb:00:2b]
RSSI: -67 [da:38:2f:18:11:5c]
RSSI: -82 [da:30:a7:eb:00:2b]
RSSI: -68 [da:38:2f:28:11:8c]
RSSI: -81 [da:30:a7:f7:00:5b]
RSSI: -69 [da:38:2f:37:11:bc]
RSSI: -69 [da:38:2f:37:11:bc]
RSSI: -81 [da:30:a8:07:00:8b]
RSSI: -80 [da:30:a8:07:00:8b]
RSSI: -72 [da:38:2f:44:11:ec]
RSSI: -81 [da:30:a8:17:00:bb]
RSSI: -70 [da:38:2f:54:12:1c]
RSSI: -82 [da:30:a8:24:00:db]
