-70 [da:2f:8d:53:0d:ea]
RSSI: -72 [da:2f:90:3d:16:4a]
RSSI: -74 [da:2f:90:3d:16:4a]
RSSI: -74 [da:2f:90:4a:00:2a]
RSSI: -74 [da:2f:90:4a:00:2a]
RSSI: -74 [da:2f:90:4a:00:2a]
RSSI: -76 [da:2f:90:57:00:4a]
RSSI: -76 [da:2f:90:57:00:4a]
RSSI: -80 [da:2f:90:64:00:6a]
RSSI: -82 [da:2f:90:64:00:6a]
RSSI: -83 [da:2f:90:71:00:9a]
RSSI: -90 [da:2f:90:7e:00:ba]
RSSI: -98 [da:35:33:d0:01:cc]
RSSI: -96 [da:2f:90:7e:00:ba]
RSSI: -84 [da:2f:90:8b:00:da]
RSSI: -84 [da:2f:90:8b:00:da]
RSSI: -88 [da:2f:90:98:01:0a]
RSSI: -86 [da:2f:90:98:01:0a]
RSSI: -87 [da:2f:90:a5:01:2a]
RSSI: -80 [da:2f:90:b1:01:4a]
RSSI: -78 [da:2f:90:be:01:7a]
RSSI: -98 [da:35:34:0b:02:8c]
RSSI: -76 [da:2f:90:be:01:7a]
RSSI: -76 [da:2f:90:cb:01:9a]
RSSI: -75 [da:2f:90:cb:01:9a]
RSSI: -76 [da:2f:90:cb:01:9a]
RSSI: -76 [da:2f:90:cb:01:9a]
RSSI: -76 [da:2f:90:d8:01:ba]
RSSI: -76 [da:2f:90:d8:01:ba]
RSSI: -77 [da:2f:90:e5:01:da]
RSSI: -81 [da:2f:90:e5:01:da]
RSSI: -78 [da:2f:90:f2:02:0a]
RSSI: -81 [da:2f:90:f2:02:0a]
RSSI: -86 [da:2f:90:ff:02:2a]
RSSI: -81 [da:2f:90:ff:02:2a]
RSSI: -81 [da:2f:91:0c:02:4a]
RSSI: -77 [da:2f:91:0c:02:4a]
RSSI: -77 [da:2f:91:19:02:7a]
RSSI: -76 [da:2f:91:19:02:7a]
RSSI: -74 [da:2f:91:26:02:9a]
RSSI: -73 [da:2f:91:33:02:ba]
RSSI: -92 [da:35:34:7f:03:fc]
RSSI: -71 [da:2f:91:33:02:ba]
RSSI: -73 [da:2f:91:40:02:da]
RSSI: -73 [da:2f:91:40:02:da]
RSSI: -75 [da:2f:91:4d:03:0a]
RSSI: -93 [da:35:34:9e:04:5c]
RSSI: -76 [da:2f:91:5a:03:2a]
RSSI: -76 [da:2f:91:5a:03:2a]
RSSI: -79 [da:2f:91:67:03:4a]
RSSI: -79 [da:2f:91:67:03:4a]
RSSI: -93 [da:35:34:ba:04:ac]
RSSI: -80 [da:2f:91:73:03:7a]
RSSI: -91 [da:35:34:ca:04:dc]
RSSI: -71 [da:2f:91:81:03:9a]
RSSI: -77 [da:2f:91:8e:03:ba]
RSSI: -74 [da:2f:91:8e:03:ba]
RSSI: -74 [da:2f:91:9a:03:ea]
RSSI: -71 [da:2f:91:a7:04:0a]
RSSI: -73 [da:2f:91:b5:04:2a]
RSSI: -73 [da:2f:91:b5:04:2a]
RSSI: -73 [da:2f:91:b5:04:2a]
RSSI: -73 [da:2f:91:c1:04:4a]
RSSI: -75 [da:2f:91:ce:04:7a]
RSSI: -75 [da:2f:91:db:04:9a]
RSSI: -94 [da:35:35:2e:06:1c]
RSSI: -75 [da:2f:91:e8:04:ba]
RSSI: -76 [da:2f:91:e8:04:ba]
RSSI: -94 [da:35:35:3e:06:5c]
RSSI: -89 [da:35:35:5a:06:ac]
RSSI: -76 [da:2f:92:0f:05:2a]
RSSI: -89 [da:35:35:5a:06:ac]
RSSI: -91 [da:35:35:5a:06:ac]
RSSI: -75 [da:2f:92:0f:05:2a]
RSSI: -72 [da:2f:92:1c:05:5a]
RSSI: -72 [da:2f:92:1c:05:5a]
RSSI: -89 [da:35:35:6a:06:dc]
RSSI: -92 [da:35:35:79:07:0c]
RSSI: -75 [da:2f:92:29:05:7a]
RSSI: -75 [da:2f:92:36:05:9a]
RSSI: -92 [da:35:35:86:07:3c]
RSSI: -75 [da:2f:92:36:05:9a]
RSSI: -74 [da:2f:92:43:05:ca]
RSSI: -76 [da:2f:92:43:05:ca]
RSSI: -89 [da:35:35:95:07:6c]
RSSI: -89 [da:35:35:a5:07:9c]
RSSI: -78 [da:2f:92:5d:06:0a]
RSSI: -78 [da:2f:92:5d:06:0a]
RSSI: -77 [da:2f:92:6a:06:3a]
RSSI: -79 [da:2f:92:6a:06:3a]
RSSI: -79 [da:2f:92:77:06:5a]
RSSI: -80 [da:2f:92:77:06:5a]
RSSI: -80 [da:2f:92:84:06:7a]
RSSI: -95 [da:35:35:d1:08:2c]
RSSI: -81 [da:2f:92:84:06:7a]
RSSI: -81 [da:2f:92:91:06:aa]
RSSI: -80 [da:2f:92:91:06:aa]
RSSI: -82 [da:2f:92:9e:06:ca]
RSSI: -83 [da:2f:92:9e:06:ca]
RSSI: -80 [da:2f:92:ab:06:ea]
RSSI: -80 [da:2f:92:ab:06:ea]
RSSI: -82 [da:2f:92:ab:06:ea]
RSSI: -82 [da:2f:92:ab:06:ea]
RSSI: -80 [da:2f:92:b8:07:1a]
RSSI: -82 [da:2f:92:c5:07:3a]
RSSI: -86 [da:2f:92:c5:07:3a]
RSSI: -80 [da:2f:92:d2:07:5a]
RSSI: -79 [da:2f:92:df:07:8a]
RSSI: -81 [da:2f:92:f9:07:ca]
RSSI: -81 [da:2f:93:06:07:fa]
RSSI: -81 [da:2f:93:20:08:3a]
RSSI: -81 [da:2f:93:2d:08:6a]
RSSI: -87 [da:2f:93:3a:08:8a]
RSSI: -80 [da:2f:93:47:08:aa]
RSSI: -81 [da:2f:93:47:08:aa]
RSSI: -79 [da:2f:93:54:08:da]
RSSI: -81 [da:2f:93:61:08:fa]
RSSI: -77 [da:2f:93:6e:09:1a]
RSSI: -90 [da:35:36:ba:0b:0c]
RSSI: -77 [da:2f:93:7b:09:4a]
RSSI: -95 [da:35:36:c9:0b:3c]
RSSI: -78 [da:2f:93:88:09:6a]
RSSI: -77 [da:2f:93:95:09:8a]
RSSI: -79 [da:2f:93:a2:09:ba]
RSSI: -79 [da:2f:93:a2:09:ba]
RSSI: -76 [da:2f:93:af:09:da]
RSSI: -83 [da:2f:93:bc:09:fa]
RSSI: -83 [da:2f:93:c9:0a:2a]
RSSI: -85 [da:2f:93:c9:0a:2a]
RSSI: -76 [da:2f:93:d7:0a:4a]
RSSI: -76 [da:2f:93:d7:0a:4a]
RSSI: -85 [da:2f:93:d7:0a:4a]
RSSI: -86 [da:2f:93:e3:0a:6a]
RSSI: -81 [da:2f:93:f1:0a:9a]
RSSI: -83 [da:2f:93:f1:0a:9a]
RSSI: -79 [da:2f:93:fe:0a:ba]
RSSI: -80 [da:2f:93:fe:0a:ba]
RSSI: -80 [da:2f:94:0a:0a:da]
RSSI: -76 [da:2f:94:0a:0a:da]
RSSI: -79 [da:2f:94:18:0b:0a]
RSSI: -80 [da:2f:94:18:0b:0a]
RSSI: -76 [da:2f:94:25:0b:2a]
RSSI: -81 [da:2f:94:25:0b:2a]
RSSI: -82 [da:2f:94:31:0b:4a]
RSSI: -78 [da:2f:94:31:0b:4a]
RSSI: -85 [da:2f:94:3f:0b:7a]
RSSI: -94 [da:35:37:89:0d:ac]
RSSI: -87 [da:2f:94:3f:0b:7a]
RSSIRSSI: -80 [da:31:af:94:0b:0a]
RSSI: -80 [da:37:52:cb:11:9c]
RSSI: -82 [da:31:af:a4:0b:3a]
RSSI: -81 [da:37:52:da:11:cc]
RSSI: -79 [da:31:af:a4:0b:3a]
RSSI: -80 [da:31:af:a4:0b:3a]
RSSI: -77 [da:37:52:e9:11:ec]
RSSI: -79 [da:31:af:b4:0b:6a]
RSSI: -82 [da:31:af:b4:0b:6a]
RSSI: -78 [da:37:52:f6:12:1c]
RSSI: -78 [da:37:52:f6:12:1c]
RSSI: -77 [da:37:52:f6:12:1c]
RSSI: -78 [da:31:af:c1:0b:8a]
RSSI: -78 [da:37:53:05:12:4c]
RSSI: -82 [da:31:af:d1:0b:ba]
RSSI: -84 [da:31:af:e1:0b:ea]
RSSI: -77 [da:37:53:21:12:9c]
RSSI: -76 [da:37:53:30:12:cc]
RSSI: -77 [da:37:53:30:12:cc]
RSSI: -80 [da:31:af:fe:0c:3a]
RSSI: -82 [da:31:b0:0e:0c:6a]
RSSI: -77 [da:37:53:3f:12:fc]
RSSI: -78 [da:37:53:4b:13:2c]
RSSI: -85 [da:31:b0:1a:0c:8a]
RSSI: -80 [da:37:53:5b:13:5c]
RSSI: -83 [da:31:b0:2b:0c:ba]
RSSI: -83 [da:31:b0:2b:0c:ba]
RSSI: -84 [da:31:b0:2b:0c:ba]
RSSI: -79 [da:37:53:6a:13:8c]
RSSI: -83 [da:31:b0:2b:0c:ba]
RSSI: -79 [da:31:b0:3b:0c:ea]
RSSI: -80 [da:31:b0:3b:0c:ea]
RSSI: -80 [da:37:53:76:13:ac]
RSSI: -81 [da:37:53:76:13:ac]
RSSI: -76 [da:31:b0:47:0d:0a]
RSSI: -83 [da:37:53:85:13:dc]
RSSI: -76 [da:31:b0:57:0d:3a]
RSSI: -85 [da:37:53:94:14:0c]
RSSI: -76 [da:31:b0:57:0d:3a]
RSSI: -76 [da:31:b0:67:0d:6a]
RSSI: -75 [da:31:b0:67:0d:6a]
RSSI: -91 [da:37:53:a1:14:3c]
RSSI: -74 [da:31:b0:67:0d:6a]
RSSI: -73 [da:31:b0:74:0d:8a]
RSSI: -88 [da:37:53:bf:14:9c]
RSSI: -71 [da:31:b0:84:0d:ba]
RSSI: -70 [da:31:b0:94:0d:ea]
RSSI: -71 [da:31:b0:94:0d:ea]
RSSI: -69 [da:31:b0:a1:0e:1a]
RSSI: -89 [da:37:53:db:14:ec]
RSSI: -69 [da:31:b0:b1:0e:3a]
RSSI: -69 [da:31:b0:b1:0e:3a]
RSSI: -69 [da:31:b0:b1:0e:3a]
RSSI: -89 [da:37:53:ea:15:1c]
