loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
2025-03-26T12:13:55.043Z,1,1742991234.998729,53.36932179833026,-1.449929976462536,117.0464,0,1.265924,306.6999675921826,180,3.349701082275981,4.754370588436283,-9999
2025-03-26T12:13:56.041Z,2,1742991235.998714,53.36931842577302,-1.449918282800793,117.2916,0.03086676,1.294337,306.699977543,180,3.350131015579962,4.754067648996805,-9999
2025-03-26T12:13:57.038Z,3,1742991236.998698,53.36931772009579,-1.449920520533222,117.3909,0.02811874,1.293798,306.6999752199557,180,3.352599602379545,4.752327107735047,-9999
2025-03-26T12:13:58.040Z,4,1742991237.998683,53.36931280548719,-1.44993946164485,117.0044,0.6109663,1.290866,240.0393156780558,99.04131727791429,3.354060729502906,4.751295997472192,-9999
2025-03-26T12:13:59.045Z,5,1742991238.998668,53.36929332213221,-1.449922177507445,117.2192,1.147355,1.034511,175.8094426836579,42.30798745059618,3.357537390468299,4.748839827199498,-9999
2025-03-26T12:14:00.039Z,6,1742991239.998654,53.36928370250292,-1.449911559976046,117.3293,1.234296,1.118004,165.0126001585651,41.88423905216926,3.358551737264685,4.748122498515093,-9999
2025-03-26T12:14:01.034Z,7,1742991240.998639,53.36926911287344,-1.449900592318346,117.0188,1.514624,1.110496,162.503033050822,34.06694824152539,3.360489140621242,4.746751496397883,-9999
2025-03-26T12:14:02.046Z,8,1742991241.998625,53.36925896952684,-1.449882059991611,117.8259,1.489835,1.241287,153.4689717052867,37.37060363338107,3.355364791745358,4.750375158564266,-9999
2025-03-26T12:14:03.038Z,9,1742991242.998608,53.36920837146341,-1.449877246473609,117.317,3.379468,1.32173,167.3067046476965,18.20098459910212,3.336437422817001,4.763687894521962,-9999
2025-03-26T12:14:04.037Z,10,1742991243.998594,53.36915545352264,-1.449881726943616,117.8044,4.827233,1.404645,174.4637753525302,13.04012104989274,3.304684999696681,4.785769957443482,-9999
2025-03-26T12:14:05.044Z,11,1742991244.99858,53.36920025128023,-1.449870847033006,117.7577,1.591349,1.107228,160.2703657015847,33.30138326883221,3.364132079297285,4.744170358011162,-9999
2025-03-26T12:14:06.039Z,12,1742991245.998564,53.36919309884691,-1.449865700198594,118.2154,1.490684,1.132282,166.3874719177416,34.58104720919246,3.366034786568051,4.742820558317868,-9999
2025-03-26T12:14:07.037Z,13,1742991246.998549,53.36918144646744,-1.449869390276205,118.3341,1.429133,1.124901,176.9701836545819,35.83130592679484,3.364128755727208,4.744172714781592,-9999
2025-03-26T12:14:08.040Z,14,1742991247.998534,53.36917056023312,-1.449871098744188,118.5682,1.350385,1.148885,182.1800417707958,38.5355655084741,3.360599184242988,4.746673588488489,-9999
2025-03-26T12:14:09.038Z,15,1742991248.998519,53.36915798088081,-1.449860151096501,119.178,1.308448,1.145003,172.9520011430397,37.67046938190244,3.363641839098928,4.744517953496647,-9999
2025-03-26T12:14:10.039Z,16,1742991249.998504,53.3691603767348,-1.449845911436265,119.0271,0.6901674,1.190183,137.4234040253114,77.24361306198347,3.354045389716819,4.75130682618037,-9999
2025-03-26T12:14:11.035Z,17,1742991250.998489,53.36914155807403,-1.449872437178528,119.4008,1.078522,0.977412,192.5919869600067,42.61534438842411,3.364016987517365,4.744251968486014,-9999
2025-03-26T12:14:12.042Z,18,1742991251.998475,53.36912893183471,-1.449884620934139,119.339,1.408344,1.121938,200.544071223842,36.86265398594289,3.362806634058104,4.745109964450101,-9999
2025-03-26T12:14:13.037Z,19,1742991252.99846,53.36911603696681,-1.449887939599546,119.6522,1.563751,1.001805,201.3563922124725,30.58407162684021,3.366186175276065,4.742713112361861,-9999
2025-03-26T12:14:14.038Z,20,1742991253.998447,53.36910117387943,-1.449889608256894,119.8221,1.668089,0.9130378,196.0996046237826,26.75968628923731,3.366380318921284,4.742575311069742,-9999
2025-03-26T12:14:15.046Z,21,1742991254.998429,53.36909036225943,-1.449903014117882,119.5931,1.64675,0.9525256,208.7653329339301,28.89963152117463,3.368091652299551,4.741360105971589,-9999
2025-03-26T12:14:16.039Z,22,1742991255.998415,53.3690798614095,-1.449911844591597,119.3993,1.582249,0.9712374,213.1745978326615,30.07655325950574,3.369800424846721,4.740145792008058,-9999
2025-03-26T12:14:17.040Z,23,1742991256.998402,53.36906948530658,-1.449932825580399,119.2089,1.752335,0.8812382,224.1068056998072,24.48958484090466,3.371802260684772,4.738722037388339,-9999
2025-03-26T12:14:18.038Z,24,1742991257.998384,53.36906074015188,-1.44995962623493,118.7691,1.884513,1.004923,232.7439432389245,24.04925594617537,3.371215239269916,4.739139673327124,-9999
2025-03-26T12:14:19.039Z,25,1742991258.99837,53.36905987896896,-1.449985818309548,118.9619,1.849379,1.02385,246.802475459106,21.90426174940427,3.371274212949095,4.739097721496497,-9999
2025-03-26T12:14:20.041Z,26,1742991259.998355,53.36905794656124,-1.450010863837413,119.0611,1.807897,1.049613,255.0698615225054,20.86422809471811,3.371284014784873,4.73909074870326,-9999
2025-03-26T12:14:21.039Z,27,1742991260.998339,53.36905865470271,-1.450042762543459,118.7719,1.898061,1.08569,262.6243687150657,19.76040194215587,3.368391725695384,4.741146930338239,-9999
2025-03-26T12:14:22.042Z,28,1742991262.000052,53.36905762627367,-1.450062167982022,118.7774,1.76138,1.108958,261.4858648097534,21.87819421587241,3.363341174005521,4.744731096703796,-9999
2025-03-26T12:14:23.038Z,29,1742991263.000065,53.36906049619259,-1.450078003564464,118.5255,1.515535,1.137093,268.3932553246863,24.42937262765271,3.368894024735106,4.740790027294284,-9999
2025-03-26T12:14:24.038Z,30,1742991264.000051,53.36906373469429,-1.450087707754431,118.533,1.116151,1.162632,274.2135185168056,33.77413581295066,3.366390385738536,4.742568165413754,-9999
2025-03-26T12:14:25.048Z,31,1742991265.000053,53.36905359400789,-1.450120042638101,118.5964,1.338895,1.194433,255.2525322242603,30.23047119879363,3.367104426352222,4.742061241151163,-9999
2025-03-26T12:14:26.048Z,32,1742991266.00006,53.36904864771648,-1.450143471479692,118.4973,1.395091,1.251138,252.4299349277464,31.6951814689474,3.369263524103363,4.740527432463124,-9999
2025-03-26T12:14:27.042Z,33,1742991267.000045,53.36904129098676,-1.450172237808436,118.6921,1.62279,1.249002,250.4881689382669,28.2452350503173,3.369705927519866,4.740212969353414,-9999
2025-03-26T12:14:28.044Z,34,1742991268.000054,53.3690326611155,-1.450199399480847,118.6711,1.793105,1.025996,247.3687342889182,22.23306049431234,3.369531562699928,4.740336916376073,-9999
2025-03-26T12:14:29.043Z,35,1742991269.000056,53.36902746255132,-1.450223634284801,118.6538,1.845338,1.013753,247.1765250170614,21.94716745837762,3.368063720253929,4.74137994776817,-9999
2025-03-26T12:14:30.049Z,36,1742991270.000039,53.36901955877285,-1.450246849245348,118.4348,1.832179,1.002069,241.5372949024965,23.09023045726552,3.36868718962775,4.740937001398218,-9999
2025-03-26T12:14:31.044Z,37,1742991271.000047,53.36900750342976,-1.450256658268431,118.7352,1.694649,0.9229215,227.5814472480459,26.16874410862181,3.369591759071491,4.74029412694891,-9999
2025-03-26T12:14:32.040Z,38,1742991272.000053,53.36899088428181,-1.450260445293936,118.5507,1.777795,0.8924041,206.4124502039676,25.87042154055852,3.370006423146746,4.739999339740304,-9999
2025-03-26T12:14:33.045Z,39,1742991273.000036,53.36897792355492,-1.450262449149826,118.7243,1.722197,0.8657103,196.3250807596161,25.57117636589332,3.370504617193124,4.739645098345305,-9999
