loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
2025-03-26T12:09:14.044Z,1,1742990953.999221,53.36767798305443,-1.44857282099766,129.4192,0.06721261,1.372456,265.2542479153799,180,3.358617146082589,4.748076231362433,-9999
2025-03-26T12:09:15.044Z,2,1742990954.999206,53.36767809178824,-1.448569086065197,129.573,0,1.294939,265.2542508938088,180,3.361169682089463,4.746269630034883,-9999
2025-03-26T12:09:16.041Z,3,1742990955.999191,53.36767943669287,-1.448572934585236,129.5193,0.1236484,1.521619,265.2542481835716,180,3.360614717420082,4.746662591110557,-9999
2025-03-26T12:09:17.041Z,4,1742990956.999177,53.36768255861305,-1.448565465187992,129.3976,0.1455432,1.60839,265.2542548552807,180,3.360219833754646,4.746942142224901,-9999
2025-03-26T12:09:18.043Z,5,1742990957.999162,53.36768865117951,-1.4485611270433,129.399,0.1866774,1.772033,265.2542597839361,180,3.359999377268348,4.747098189162001,-9999
2025-03-26T12:09:19.047Z,6,1742990958.999147,53.3677019016561,-1.448556707862181,129.4137,0.2660164,1.873008,265.2542665392686,180,3.361890383545824,4.745759168121676,-9999
2025-03-26T12:09:20.041Z,7,1742990959.999133,53.36771614689949,-1.448554249820545,129.6803,0.2808135,1.882057,265.2542719897082,180,3.362216273040822,4.745528291569689,-9999
2025-03-26T12:09:21.044Z,8,1742990960.999118,53.36772752596737,-1.448554322627587,129.2626,0.3469689,1.872729,265.2542747342652,180,3.361965498120575,4.745705956149802,-9999
2025-03-26T12:09:22.045Z,9,1742990961.999103,53.36773833765731,-1.448554359423853,129.0791,0.3711488,1.901267,265.2542773675643,180,3.365696890364971,4.743060349075942,-9999
2025-03-26T12:09:23.043Z,10,1742990962.999088,53.36775228633756,-1.448550273285418,129.2031,0.38028,1.867788,265.2542840316358,180,3.365117184346619,4.743471657805486,-9999
2025-03-26T12:09:24.040Z,11,1742990963.999074,53.36776627792266,-1.448543098360878,129.3282,0.3233239,1.872274,265.2542931472924,180,3.365573534752321,4.743147880360004,-9999
2025-03-26T12:09:25.045Z,12,1742990964.999059,53.36778024287899,-1.448558271158437,129.4559,1.02269,1.195186,318.9696792874926,61.59845532911668,3.365757707039085,4.743017192705065,-9999
2025-03-26T12:09:26.042Z,13,1742990965.999043,53.36780001197546,-1.448558713940333,129.6339,1.507094,1.110173,344.7373224630168,34.22765134122898,3.36654553269494,4.74245803450917,-9999
2025-03-26T12:09:27.045Z,14,1742990966.999029,53.36781537009026,-1.44855838383134,129.5684,1.608791,1.131924,350.3290838734586,32.32155877380534,3.365367284359775,4.743294221756622,-9999
2025-03-26T12:09:28.038Z,15,1742990967.999013,53.36782972827341,-1.448562116813894,129.7242,1.671636,1.12254,351.5422160603219,31.08238546000837,3.365803407565559,4.742984762194467,-9999
2025-03-26T12:09:29.045Z,16,1742990968.998999,53.36784376256662,-1.448561511568436,129.4033,1.614025,1.127177,353.2755183682415,32.0468411498972,3.365436514176918,4.743245102441318,-9999
2025-03-26T12:09:30.044Z,17,1742990969.998985,53.36785636603794,-1.448558283712279,129.5096,1.44831,1.121834,359.0762671355175,35.70726469494606,3.36571816093407,4.743045255313027,-9999
2025-03-26T12:09:31.040Z,18,1742990970.99897,53.36787271467614,-1.448557774103456,129.7072,1.564926,1.111626,0.1749747937552633,32.91865193727743,3.364474539682758,4.74392749782449,-9999
